DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Deli,"Bacon, Hot Dogs, Sausage",64114,https://www.walmart.com/ip/Oscar-Mayer-Classic-Uncured-Wieners-Hot-Dogs-Mega-Pack-20-ct-Box/474806719?fulfillmentIntent=Pickup,"Oscar Mayer Classic Uncured Wieners Hot Dogs Mega Pack, 20 ct. Box",Oscar Mayer,4.88,20,16363349,49,B,3,5,5,3
Deli,"Bacon, Hot Dogs, Sausage",62924,https://www.walmart.com/ip/Cacique-Beef-Chorizo-9-oz-Roll/11027815?fulfillmentIntent=Pickup,"Cacique Beef Chorizo, 9 oz Roll",Cacique,1.42,9,16317949,49,B,1,15,5,7
Deli,"Bacon, Hot Dogs, Sausage",60634,https://www.walmart.com/ip/Jack-Link-s-Smokehouse-Smoked-Sausages-Original-Recipe-4oz/752275300?fulfillmentIntent=Pickup,"Jack Link's Smokehouse, Smoked Sausages, Original Recipe, 4oz",Jack Link's,4.98,4,16228207,49,B,3,5,5,5
Deli,"Bacon, Hot Dogs, Sausage",62966,https://www.walmart.com/ip/Armour-Vienna-Sausage-Smoked-4-6-oz-Can/49933154?fulfillmentIntent=Pickup,"Armour Vienna Sausage, Smoked, 4.6 oz Can",Armour,0.86,4.6,16318031,49,B,1,17,7,5
Deli,"Bacon, Hot Dogs, Sausage",60152,https://www.walmart.com/ip/Great-Value-Mild-Italian-Sausage-5-Links-1-lb-3-oz-Fresh/198361163?fulfillmentIntent=Pickup,"Great Value Mild Italian Sausage, 5 Links, 1 lb 3 oz (Fresh)",Great Value,5.28,3,16216975,49,B,1,3,3,5
Deli,"Bacon, Hot Dogs, Sausage",60406,https://www.walmart.com/ip/Great-Value-Fully-Cooked-Original-Pork-Sausage-Patties-Family-Size-35-6-oz/24360492?fulfillmentIntent=Pickup,"Great Value Fully Cooked Original Pork Sausage Patties Family Size, 35.6 oz",Great Value,9.92,35.6,16227745,49,B,3,17,7,5
Deli,"Bacon, Hot Dogs, Sausage",63936,https://www.walmart.com/ip/MorningStar-Farms-Veggie-Breakfast-Meatless-Sausage-Patties-Original-8-Oz-Bag-Frozen/49358452?fulfillmentIntent=Pickup,"MorningStar Farms Veggie Breakfast Meatless Sausage Patties, Original, 8 Oz, Bag, Frozen",MorningStar Farms,4.58,8,16352133,49,B,5,7,7,7
Deli,"Bacon, Hot Dogs, Sausage",61559,https://www.walmart.com/ip/Oscar-Mayer-Classic-Beef-Uncured-Franks-Hot-Dogs-10-ct-Pack/39976745?fulfillmentIntent=Pickup&athbdg=L1300,"Oscar Mayer Classic Beef Uncured Franks Hot Dogs, 10 ct. Pack",Oscar Mayer,3.97,10,16268411,49,B,4,10,10,5
Deli,"Bacon, Hot Dogs, Sausage",63053,https://www.walmart.com/ip/Great-Value-Hickory-Smoked-Bacon-24-oz/10293912?fulfillmentIntent=Pickup,"Great Value Hickory Smoked Bacon, 24 oz",Great Value,8.92,24,16318615,49,B,4,4,4,5
Deli,"Bacon, Hot Dogs, Sausage",60192,https://www.walmart.com/ip/Jimmy-Dean-Premium-Maple-Pork-Sausage-Roll-16-oz/10533855?fulfillmentIntent=Pickup,"Jimmy Dean Premium Maple Pork Sausage Roll, 16 oz",Jimmy Dean,4.82,16,16217055,49,B,5,3,3,5
Deli,"Bacon, Hot Dogs, Sausage",61374,https://www.walmart.com/ip/Great-Value-Original-Hickory-Smoked-Bacon-48-oz/22210908?fulfillmentIntent=Pickup,"Great Value Original Hickory Smoked Bacon, 48 oz",Great Value,17.28,48,16248684,49,B,5,5,5,5
Deli,"Bacon, Hot Dogs, Sausage",61551,https://www.walmart.com/ip/Butterball-Lower-Sodium-Turkey-Bacon-12-oz/15610398?fulfillmentIntent=Pickup,Butterball Lower Sodium Turkey Bacon 12 oz.,Butterball,3.98,12,16268403,49,B,2,2,2,7
Deli,"Bacon, Hot Dogs, Sausage",59819,https://www.walmart.com/ip/Great-Value-Hickory-Smoked-Bacon-Mega-Pack-24-oz/346866251?fulfillmentIntent=Pickup,"Great Value Hickory Smoked Bacon, Mega Pack, 24 oz",Great Value,6.84,24,16210049,49,B,4,10,10,5
Deli,"Bacon, Hot Dogs, Sausage",59224,https://www.walmart.com/ip/Nettles-Country-Smoked-Sausage-48-Oz/50863412?fulfillmentIntent=Pickup,"Nettles Country Smoked Sausage, 48 Oz.",Nettles Sausage,13.98,48,16189955,49,B,3,15,5,5
Deli,"Bacon, Hot Dogs, Sausage",59463,https://www.walmart.com/ip/Hormel-Salad-Toppings-Real-Bacon-Crumbles-Pouch-4-3-oz/489301520?fulfillmentIntent=Pickup,"Hormel Salad Toppings Real Bacon Crumbles Pouch, 4.3 oz.",Hormel,4.98,4.3,16199520,49,B,2,14,4,7
Deli,"Bacon, Hot Dogs, Sausage",59920,https://www.walmart.com/ip/Hillshire-Farm-Turkey-Smoked-Sausage-13-oz/24217249?fulfillmentIntent=Pickup,"Hillshire Farm Turkey Smoked Sausage, 13 oz",Hillshire Farm,3.98,13,16210173,49,B,3,11,1,7
Deli,"Bacon, Hot Dogs, Sausage",61343,https://www.walmart.com/ip/Great-Value-Original-Pepperoni-Mega-Pack-21-oz/483646515?fulfillmentIntent=Pickup,"Great Value Original Pepperoni Mega Pack, 21 oz",Great Value,7.68,21,16248653,49,B,4,14,4,5
Deli,"Bacon, Hot Dogs, Sausage",61024,https://www.walmart.com/ip/Great-Value-Original-Premium-Sausage-Patties-Mega-Pack-27-oz-18-Count/244236266?fulfillmentIntent=Pickup,"Great Value Original Premium Sausage Patties Mega Pack, 27 oz, 18 Count",Great Value,4.78,27,16248226,49,B,3,15,5,5
Deli,"Bacon, Hot Dogs, Sausage",59822,https://www.walmart.com/ip/Ball-Park-Bun-Size-Uncured-Beef-Hot-Dogs-15-oz-8-Ct/34632372?fulfillmentIntent=Pickup,"Ball Park Bun Size Uncured Beef Hot Dogs, 15 oz, 8 Ct",Ball Park,4.22,15,16210052,49,B,1,13,3,3
Deli,"Bacon, Hot Dogs, Sausage",64229,https://www.walmart.com/ip/Kiolbassa-CHEDDAR-Pork-and-Beef-Smoked-Sausage-13-ounces/658588227?fulfillmentIntent=Pickup,"Kiolbassa CHEDDAR Pork and Beef Smoked Sausage, 13 ounces",Kiolbassa,6.57,13,16363603,49,B,4,20,10,5
Deli,"Bacon, Hot Dogs, Sausage",62844,https://www.walmart.com/ip/Johnsonville-Beddar-with-Cheddar-Smoked-Sausages-14-oz-6-Count/15191614?fulfillmentIntent=Pickup,"Johnsonville Beddar with Cheddar Smoked Sausages, 14 oz, 6 Count",Johnsonville,3.96,14,16317754,49,B,5,15,5,7
Deli,"Bacon, Hot Dogs, Sausage",60231,https://www.walmart.com/ip/Oscar-Mayer-Classic-Uncured-Wieners-Hot-Dogs-Mega-Pack-20-ct-Box/474806719?fulfillmentIntent=Pickup,"Oscar Mayer Classic Uncured Wieners Hot Dogs Mega Pack, 20 ct. Box",Oscar Mayer,4.88,20,16217134,49,B,2,2,2,3
Deli,"Bacon, Hot Dogs, Sausage",63294,https://www.walmart.com/ip/J-C-Potter-Hot-Links-Sausage-54-Oz-17-Count/21677825?fulfillmentIntent=Pickup,"J.C. Potter Hot Links Sausage, 54 Oz., 17 Count",J. C. Potter,12.54,54,16338930,49,B,5,5,5,5
Deli,"Bacon, Hot Dogs, Sausage",59881,https://www.walmart.com/ip/Great-Value-Thin-Sliced-Hard-Salami-Lunchmeat-7-ounces/52468057?fulfillmentIntent=Pickup,"Great Value Thin Sliced Hard Salami Lunchmeat, 7 ounces",Great Value,3.48,7,16210111,49,B,6,12,2,7
Deli,"Bacon, Hot Dogs, Sausage",63645,https://www.walmart.com/ip/Great-Value-Dry-Cured-Sliced-Pepperoni-7-oz/715139314?fulfillmentIntent=Pickup,"Great Value Dry-Cured Sliced Pepperoni, 7 oz",Great Value,6.34,7,16340191,49,B,2,16,6,8
Deli,"Bacon, Hot Dogs, Sausage",62198,https://www.walmart.com/ip/Hillshire-Farm-Hardwood-Smoked-Summer-Sausage-20-oz/49409657?fulfillmentIntent=Pickup,"Hillshire Farm Hardwood Smoked Summer Sausage, 20 oz",Hillshire Farm,6.97,20,16290351,49,B,1,9,9,7
Deli,"Bacon, Hot Dogs, Sausage",60160,https://www.walmart.com/ip/Bar-S-America-s-Favorite-Bologna-16-Oz/10290727?fulfillmentIntent=Pickup,"Bar S America's Favorite Bologna, 16 Oz.",Bar-S,1.48,16,16216983,49,B,3,11,1,5
Deli,"Bacon, Hot Dogs, Sausage",58669,https://www.walmart.com/ip/Genoa-Salami-7oz/108698250?fulfillmentIntent=Pickup,"Genoa Salami, 7oz.",Dietz & Watson,4.78,7,16171267,49,B,6,20,10,7
Deli,"Bacon, Hot Dogs, Sausage",63007,https://www.walmart.com/ip/Hormel-Salad-Toppings-Real-Bacon-Crumbles-Pouch-4-3-oz/489301520?fulfillmentIntent=Pickup,"Hormel Salad Toppings Real Bacon Crumbles Pouch, 4.3 oz.",Hormel,4.98,4.3,16318139,49,B,6,18,8,7
Deli,"Bacon, Hot Dogs, Sausage",58198,https://www.walmart.com/ip/Galileo-Deli-Thin-Sliced-Italian-Dry-Salami-15-2-oz/337380163?fulfillmentIntent=Pickup,"Galileo Deli Thin Sliced Italian Dry Salami, 15.2 oz.",Galileo,5.98,15.2,16166843,49,B,3,9,9,7
Deli,"Bacon, Hot Dogs, Sausage",58114,https://www.walmart.com/ip/Nathan-s-Famous-Colossal-Quarter-Pound-Beef-Franks-32-oz/52484128?fulfillmentIntent=Pickup,"Nathan's Famous Colossal Quarter Pound Beef Franks, 32 oz",Nathan's,10.82,32,16166469,49,B,3,5,5,4
Deli,"Bacon, Hot Dogs, Sausage",58510,https://www.walmart.com/ip/Hormel-Pepperoni-Original-Pillow-Pack-6oz/10290999?fulfillmentIntent=Pickup,Hormel Pepperoni Original Pillow Pack - 6oz,Hormel,3.94,6,16170886,49,B,3,1,1,5
Deli,"Bacon, Hot Dogs, Sausage",58752,https://www.walmart.com/ip/Hillshire-Farm-Lit-l-Smokies-Smoked-Sausage-28-oz/44391041?fulfillmentIntent=Pickup&athbdg=L1600,"Hillshire Farm Lit'l Smokies Smoked Sausage, 28 oz",Hillshire Farm,7.62,28,16185333,49,B,5,3,3,7
Deli,"Bacon, Hot Dogs, Sausage",60866,https://www.walmart.com/ip/Oscar-Mayer-Uncured-Cheese-Hot-Dogs-10-ct-Pack/10292513?fulfillmentIntent=Pickup,"Oscar Mayer Uncured Cheese Hot Dogs, 10 ct. Pack",Oscar Mayer,3.97,10,16242545,49,B,1,17,7,3
Deli,"Bacon, Hot Dogs, Sausage",59084,https://www.walmart.com/ip/Sam-s-Choice-Uncured-Turkey-Bacon-10-oz-12-Pieces-per-Pack/36511541?fulfillmentIntent=Pickup,"Sam's Choice Uncured Turkey Bacon, 10 oz, 12 Pieces per Pack",Sam's Choice,3.68,10,16189629,49,B,1,15,5,7
Deli,"Bacon, Hot Dogs, Sausage",62980,https://www.walmart.com/ip/Oscar-Mayer-Original-Center-Cut-Bacon-Mega-Pack-17-oz-Pack-25-27-slices/52633245?fulfillmentIntent=Pickup,"Oscar Mayer Original Center Cut Bacon Mega Pack, 17 oz Pack, 25-27 slices",Oscar Mayer,10.48,17,16318045,49,B,3,11,1,5
Deli,"Bacon, Hot Dogs, Sausage",62780,https://www.walmart.com/ip/Hormel-Natural-Sliced-Uncured-Hard-Salami-Lunch-Meat-6-oz/53748216?fulfillmentIntent=Pickup,"Hormel Natural Sliced Uncured Hard Salami Lunch Meat, 6 oz",Hormel,4.92,6,16317238,49,B,1,11,1,7
Deli,"Bacon, Hot Dogs, Sausage",58204,https://www.walmart.com/ip/Old-Wisconsin-Gluten-Free-Turkey-Sausage-Sticks-28-Oz/55522122?fulfillmentIntent=Pickup,"Old Wisconsin Gluten Free Turkey Sausage Sticks, 28 Oz",Old Wisconsin,14.98,28,16166857,49,B,3,15,5,7
Deli,"Bacon, Hot Dogs, Sausage",61190,https://www.walmart.com/ip/Hormel-Salad-Toppings-Real-Bacon-Crumbles-Pouch-4-3-oz/489301520?fulfillmentIntent=Pickup,"Hormel Salad Toppings Real Bacon Crumbles Pouch, 4.3 oz.",Hormel,4.98,4.3,16248482,49,B,1,1,1,7
Deli,"Bacon, Hot Dogs, Sausage",61968,https://www.walmart.com/ip/Zummo-s-Cajun-Style-Boudin-36-oz/10309529?fulfillmentIntent=Pickup,"Zummo's Cajun Style Boudin, 36 oz",Zummo,9.57,36,16281025,49,B,5,19,9,5
Deli,"Bacon, Hot Dogs, Sausage",60164,https://www.walmart.com/ip/Circle-B-Mild-Smoked-Sausage-Links-44-Oz/131650648?fulfillmentIntent=Pickup,"Circle B Mild Smoked Sausage Links, 44 Oz.",Circle B,7.18,44,16216987,49,B,1,15,5,5
Deli,"Bacon, Hot Dogs, Sausage",59308,https://www.walmart.com/ip/MorningStar-Farms-Meatless-Sausage-Patties-Original-16-Oz-Bag-Frozen/49015183?fulfillmentIntent=Pickup,"MorningStar Farms Meatless Sausage Patties, Original, 16 Oz, Bag, Frozen",MorningStar Farms,6.8,16,16196770,49,B,3,19,9,7
Deli,"Bacon, Hot Dogs, Sausage",61515,https://www.walmart.com/ip/Hillshire-Farm-Beef-Smoked-Sausage-12-oz/42678688?fulfillmentIntent=Pickup,"Hillshire Farm Beef Smoked Sausage, 12 oz",Hillshire Farm,3.98,12,16268300,49,B,2,6,6,7
Deli,"Bacon, Hot Dogs, Sausage",61661,https://www.walmart.com/ip/Oscar-Mayer-Hard-Salami-Deli-Lunch-Meat-8-oz-Package/10292601?fulfillmentIntent=Pickup,"Oscar Mayer Hard Salami Deli Lunch Meat, 8 oz Package",Oscar Mayer,6.37,8,16268633,49,B,4,12,2,7
Deli,"Bacon, Hot Dogs, Sausage",63867,https://www.walmart.com/ip/Jimmy-Dean-Simple-Scrambles-Quick-Breakfast-Cup-Sausage-5-35-oz/183966562?fulfillmentIntent=Pickup,"Jimmy Dean Simple Scrambles Quick Breakfast Cup, Sausage, 5.35 oz",Jimmy Dean,3.18,5.35,16352000,49,B,2,18,8,5
Deli,"Bacon, Hot Dogs, Sausage",59940,https://www.walmart.com/ip/Kountry-Boys-Smoked-Pork-Venison-with-Garlic-Sausage-24-Oz-8-Count/21961757?fulfillmentIntent=Pickup,"Kountry Boys Smoked Pork & Venison with Garlic Sausage, 24 Oz., 8 Count",Kountry Boys Sausage,7.92,24,16210207,49,B,5,11,1,7
Deli,"Bacon, Hot Dogs, Sausage",60394,https://www.walmart.com/ip/Eckrich-Smok-Y-Maple-Breakfast-Smoked-Sausage-Links-8-3-oz/20461328?fulfillmentIntent=Pickup,"Eckrich Smok-Y Maple Breakfast Smoked Sausage Links, 8.3 oz",Eckrich,3.46,8.3,16227733,49,B,3,5,5,7
Deli,"Bacon, Hot Dogs, Sausage",59003,https://www.walmart.com/ip/Great-Value-Vermont-Maple-Premium-Sausage-12-oz-8-Count/114435065?fulfillmentIntent=Pickup,"Great Value Vermont Maple Premium Sausage, 12 oz, 8 Count",Great Value,2.76,12,16189437,49,B,4,14,4,8
Deli,"Bacon, Hot Dogs, Sausage",62762,https://www.walmart.com/ip/Aidells-Chicken-Apple-Smoked-Chicken-Sausage-Links-12-oz-4-Ct/10317798?fulfillmentIntent=Pickup,"Aidells Chicken & Apple Smoked Chicken Sausage Links, 12 oz, 4 Ct",Aidells,5.92,12,16317212,49,B,1,13,3,7
Deli,"Bacon, Hot Dogs, Sausage",59484,https://www.walmart.com/ip/Cloverdale-Signture-Apl-Smk-Bacon-48oz/878211473?fulfillmentIntent=Pickup,Cloverdale Signture Apl Smk Bacon 48oz,Cloverdale Foods,22.98,48,16199576,49,B,5,15,5,5
Deli,"Bacon, Hot Dogs, Sausage",63473,https://www.walmart.com/ip/Great-Value-Vermont-Maple-Premium-Sausage-12-oz-8-Count/114435065?fulfillmentIntent=Pickup,"Great Value Vermont Maple Premium Sausage, 12 oz, 8 Count",Great Value,2.5,12,16339756,49,B,4,4,4,8
Deli,"Bacon, Hot Dogs, Sausage",59570,https://www.walmart.com/ip/Great-Value-Naturally-Hickory-Smoked-Thick-Sliced-Bacon-Mega-Pack-24-oz/257009703?fulfillmentIntent=Pickup,"Great Value Naturally Hickory Smoked Thick Sliced Bacon Mega Pack, 24 oz",Great Value,6.53,24,16203144,49,B,1,1,1,8
Deli,"Bacon, Hot Dogs, Sausage",58965,https://www.walmart.com/ip/Hillshire-Farm-Polska-Kielbasa-Smoked-Sausage-14-oz/44391031?fulfillmentIntent=Pickup,"Hillshire Farm Polska Kielbasa Smoked Sausage, 14 oz",Hillshire Farm,3.98,14,16189348,49,B,2,16,6,7
Deli,"Bacon, Hot Dogs, Sausage",61063,https://www.walmart.com/ip/Ball-Park-Classic-Bun-Size-Hot-Dogs-15-oz-8-Ct/34632371?fulfillmentIntent=Pickup,"Ball Park Classic Bun Size Hot Dogs, 15 oz, 8 Ct",Ball Park,3.62,15,16248280,49,B,6,14,4,5
Deli,"Bacon, Hot Dogs, Sausage",63707,https://www.walmart.com/ip/Banquet-Brown-N-Serve-Fully-Cooked-Original-Sausage-Links-6-4-oz-10-Ct-Frozen/21298424?fulfillmentIntent=Pickup,"Banquet Brown 'N Serve Fully Cooked Original Sausage Links, 6.4 oz, 10 Ct (Frozen)",Homestyle Bakes,1.78,6.4,16351608,49,B,4,18,8,7
Deli,"Bacon, Hot Dogs, Sausage",58779,https://www.walmart.com/ip/Oscar-Mayer-Thick-Cut-Beef-Bologna-Deli-Lunch-Meat-16-oz-Package/15435629?fulfillmentIntent=Pickup,"Oscar Mayer Thick Cut Beef Bologna Deli Lunch Meat, 16 oz Package",Oscar Mayer,6.84,16,16185396,49,B,2,10,10,7
Deli,"Bacon, Hot Dogs, Sausage",62000,https://www.walmart.com/ip/Oscar-Mayer-Original-Fully-Cooked-Bacon-Mega-Pack-6-3-oz-Box-23-25-slices/21949970?fulfillmentIntent=Pickup,"Oscar Mayer Original Fully Cooked Bacon Mega Pack, 6.3 oz Box, 23-25 slices",Oscar Mayer,10.44,6.3,16281165,49,B,1,11,1,3
Deli,"Bacon, Hot Dogs, Sausage",60765,https://www.walmart.com/ip/Hillshire-Farm-Beef-Lit-l-Smokies-Smoked-Sausage-24-oz/49409658?fulfillmentIntent=Pickup,"Hillshire Farm Beef Lit'l Smokies Smoked Sausage, 24 oz",Hillshire Farm,7.62,24,16234963,49,B,2,16,6,7
