DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Dairy & Eggs,Butter & Margarine,162257,https://www.walmart.com/ip/Land-O-Lakes-Salted-Butter-1-lb-2-Pack/20691916?fulfillmentIntent=Pickup,"Land O Lakes Salted Butter, 1 lb - 2 Pack",Land O'Lakes,10.58,1,16231689,45,F,1,1,1,7
Dairy & Eggs,Butter & Margarine,162501,https://www.walmart.com/ip/Country-Crock-Calcium-Spread-Tub-15-oz/10291550?fulfillmentIntent=Pickup,"Country Crock Calcium Spread Tub, 15 oz",Country Crock,3.43,15,16266062,45,F,5,5,5,7
Dairy & Eggs,Butter & Margarine,162091,https://www.walmart.com/ip/Imperial-Vegetable-Oil-Spread-16-oz-4-Sticks/10294504?fulfillmentIntent=Pickup,"Imperial Vegetable Oil Spread 16 oz, 4 Sticks",Imperial,1.48,16,16211230,45,F,3,15,5,7
Dairy & Eggs,Butter & Margarine,162440,https://www.walmart.com/ip/Vermont-Creamery-Cultured-Butter-Unsalted-8-oz/934976539?fulfillmentIntent=Pickup,"Vermont Creamery Cultured Butter Unsalted, 8 oz",Vermont Creamery,2.98,8,16257741,45,F,4,4,4,7
Dairy & Eggs,Butter & Margarine,162603,https://www.walmart.com/ip/I-Can-t-Believe-It-s-Not-Butter-Original-Spread-15-oz/10306827?fulfillmentIntent=Pickup&athbdg=L1600,"I Cant Believe Its Not Butter! Original Spread, 15 oz",I Can't Believe It's Not Butter!,4.78,15,16293226,45,F,5,7,7,7
Dairy & Eggs,Butter & Margarine,161893,https://www.walmart.com/ip/Smart-Balance-Original-Buttery-Spread-45-OZ/10411892?fulfillmentIntent=Pickup,"Smart Balance Original Buttery Spread, 45 OZ",Smart Balance,8.38,45,16184074,45,F,3,17,7,7
Dairy & Eggs,Butter & Margarine,162681,https://www.walmart.com/ip/Land-O-Lakes-Salted-Butter-1-lb/10291058?fulfillmentIntent=Pickup&athbdg=L1600,"Land O Lakes Salted Butter, 1 lb",Land O'Lakes,5.48,1,16306183,45,F,5,5,5,7
Dairy & Eggs,Butter & Margarine,162411,https://www.walmart.com/ip/Tillamook-Unsalted-Sweat-Cream-Butter-1lb-4-Sticks/10292904?fulfillmentIntent=Pickup,"Tillamook Unsalted Sweat Cream Butter, 1lb, 4 Sticks",Tillamook,5.28,1,16257672,45,F,5,15,5,7
Dairy & Eggs,Butter & Margarine,162882,https://www.walmart.com/ip/Challenge-Butter-Sea-Salted-Spreadable-Butter-with-Canola-Oil-15-oz-Tub/10810929?fulfillmentIntent=Pickup,"Challenge Butter, Sea Salted, Spreadable Butter with Canola Oil 15 oz Tub",Challenge,3.87,15,16335410,45,F,2,6,6,7
Dairy & Eggs,Butter & Margarine,161879,https://www.walmart.com/ip/Country-Crock-Original-Spread-Tub-67-5-oz/161508578?fulfillmentIntent=Pickup,"Country Crock Original Spread Tub, 67.5 oz",Country Crock,7.63,67.5,16184060,45,F,1,3,3,7
Dairy & Eggs,Butter & Margarine,162582,https://www.walmart.com/ip/Kerrygold-Grass-Fed-Pure-Irish-Salted-Butter-Sticks-8-Oz-2-Sticks/193243827?fulfillmentIntent=Pickup,"Kerrygold Grass-Fed Pure Irish Salted Butter Sticks, 8 Oz, 2 Sticks",Kerrygold,4.18,8,16283361,45,F,2,6,6,10
Dairy & Eggs,Butter & Margarine,163029,https://www.walmart.com/ip/Land-O-Lakes-Butter-with-Canola-Oil-15-oz/10291056?fulfillmentIntent=Pickup,"Land O Lakes Butter with Canola Oil, 15 oz",Land O'Lakes,3.98,15,16368178,45,F,5,13,3,7
Dairy & Eggs,Butter & Margarine,162408,https://www.walmart.com/ip/Land-O-Lakes-Salted-Butter-1-lb/10291060?fulfillmentIntent=Pickup,"Land O Lakes Salted Butter, 1 lb",Land O'Lakes,5.48,1,16257669,45,F,2,12,2,7
