DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Breakfast & Cereal,Cereal & Granola,278104,https://www.walmart.com/ip/ratio-Keto-Granola-Coconut-Almond-8-oz-Pouch/226158838?fulfillmentIntent=Pickup,:ratio Keto Granola Coconut Almond 8 oz. Pouch,Ratio,6.98,8,16439408,26,C,2,20,10,7
Breakfast & Cereal,Cereal & Granola,277271,https://www.walmart.com/ip/Nutri-Grain-Soft-Baked-Breakfast-Bars-Blueberry-16-Ct-20-8-Oz-Box/36988924?fulfillmentIntent=Pickup,"Nutri-Grain Soft Baked Breakfast Bars, Blueberry, 16 Ct, 20.8 Oz, Box",Kellogg's Nutri-Grain,5.67,20.8,16385226,26,C,3,7,7,7
Breakfast & Cereal,Cereal & Granola,277439,https://www.walmart.com/ip/Great-Value-Fruit-Grain-Bars-Variety-Pack-41-6-oz-32-Count/764659276?fulfillmentIntent=Pickup,"Great Value Fruit & Grain Bars, Variety Pack, 41.6 oz, 32 Count",Great Value,6.46,41.6,16387685,26,C,3,15,5,7
Breakfast & Cereal,Cereal & Granola,278091,https://www.walmart.com/ip/Bear-Naked-Granola-Cereal-Fruit-and-Nut-16-5-Oz-Bag/705164648?fulfillmentIntent=Pickup,"Bear Naked Granola Cereal, Fruit and Nut, 16.5 Oz, Bag",Bear Naked,5.84,16.5,16439381,26,C,1,7,7,7
Breakfast & Cereal,Cereal & Granola,277568,https://www.walmart.com/ip/Fiber-One-Chewy-Bars-Oats-Chocolate-Fiber-Snacks-Mega-Pack-15-ct/25847928?fulfillmentIntent=Pickup,"Fiber One Chewy Bars, Oats & Chocolate, Fiber Snacks, Mega Pack, 15 ct",Fiber One,8.42,15,16387951,26,C,6,4,4,7
Breakfast & Cereal,Cereal & Granola,278649,https://www.walmart.com/ip/Great-Value-Honey-Graham-Crunch-Cereal-12-oz/190811962?fulfillmentIntent=Pickup,"Great Value Honey Graham Crunch Cereal, 12 oz",Great Value,2.12,12,16440689,26,C,1,5,5,7
Breakfast & Cereal,Cereal & Granola,278230,https://www.walmart.com/ip/Post-Honey-Bunches-of-Oats-French-Vanilla-Almond-Granola-Cereal-Vanilla-Granola-with-Crushed-Almonds-11-OZ-Bag/254122398?fulfillmentIntent=Pickup,"Post Honey Bunches of Oats French Vanilla Almond Granola Cereal, Vanilla Granola with Crushed Almonds, 11 OZ Bag",Honey Bunches of Oats,2.98,11,16439750,26,C,2,6,6,7
Breakfast & Cereal,Cereal & Granola,277359,https://www.walmart.com/ip/Nutri-Grain-Soft-Baked-Breakfast-Bars-Strawberry-8-Ct-10-4-Oz-Box/13424483?fulfillmentIntent=Pickup,"Nutri-Grain Soft Baked Breakfast Bars, Strawberry, 8 Ct, 10.4 Oz, Box",Kellogg's Nutri-Grain,2.98,10.4,16387184,26,C,1,15,5,8
Breakfast & Cereal,Cereal & Granola,278191,https://www.walmart.com/ip/Blueberry-Granola-Yogurt-Parfait-7-oz/751678452?fulfillmentIntent=Pickup,"Blueberry Granola Yogurt Parfait, 7 oz",PRODUCE UNBRANDED,3.97,7,16439671,26,C,5,7,7,7
Breakfast & Cereal,Cereal & Granola,278346,https://www.walmart.com/ip/Nature-Valley-Oats-Honey-Big-Crunchy-Granola-Breakfast-Cereal-16-oz/48256169?fulfillmentIntent=Pickup,"Nature Valley Oats & Honey Big & Crunchy Granola Breakfast Cereal, 16 oz.",Nature Valley,4.38,16,16439913,26,C,4,2,2,7
