DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Snacks,Chips,131874,https://www.walmart.com/ip/Popcornopolis-Double-Drizzle-Gourmet-Popcorn-7-5-oz/639851050?fulfillmentIntent=Pickup,"Popcornopolis Double Drizzle, Gourmet Popcorn 7.5 oz",Popcornopolis,4.48,7.5,16270992,7,D,6,8,8,7
Snacks,Chips,127877,https://www.walmart.com/ip/Ore-Ida-Golden-Crinkles-French-Fries-Fried-Frozen-Potatoes-Value-Size-5-lb-Bag/11964593?fulfillmentIntent=Pickup,"Ore-Ida Golden Crinkles French Fries Fried Frozen Potatoes Value Size, 5 lb Bag",Ore-Ida,8.04,5,16201678,7,D,5,11,1,7
Snacks,Chips,134531,https://www.walmart.com/ip/Cheetos-Popcorn-Cheddar-Jalapeno-6-5-oz/954609273?fulfillmentIntent=Pickup,"Cheetos Popcorn, Cheddar Jalapeno, 6.5 oz",Cheetos,3.98,6.5,16319587,7,D,5,5,5,3
Snacks,Chips,137592,https://www.walmart.com/ip/Doritos-Tortilla-Chips-Flamas-Flavored-9-1-4-Oz/653373672?fulfillmentIntent=Pickup,Doritos Tortilla Chips Flamas Flavored 9 1/4 Oz,Doritos,3.98,4,16719091,7,D,6,6,6,3
Snacks,Chips,129040,https://www.walmart.com/ip/Great-Value-Nacho-Cheese-Tortilla-Chips-9-75-oz/836517590?fulfillmentIntent=Pickup,"Great Value Nacho Cheese Tortilla Chips, 9.75 oz",Great Value,1.78,9.75,16235851,7,D,4,14,4,7
Snacks,Chips,127577,https://www.walmart.com/ip/Sam-s-Choice-Sea-Salt-Caramel-Popcorn-9-oz/703700414?fulfillmentIntent=Pickup,"Sam's Choice Sea Salt Caramel Popcorn, 9 oz",Sam's Choice,5.98,9,16199685,7,D,5,11,1,7
Snacks,Chips,130475,https://www.walmart.com/ip/Great-Value-Sour-Cream-Onion-Flavored-Potato-Chips-7-75-oz/218286493?fulfillmentIntent=Pickup,"Great Value Sour Cream & Onion Flavored Potato Chips, 7.75 oz",Great Value,1.66,7.75,16254060,7,D,5,9,9,7
Snacks,Chips,130842,https://www.walmart.com/ip/Pop-Secret-Microwave-Popcorn-Movie-Theater-Butter-Flavor-3-2-Oz-Sharing-Bags-3-Ct/22309163?fulfillmentIntent=Pickup,"Pop Secret Microwave Popcorn, Movie Theater Butter Flavor, 3.2 Oz Sharing Bags, 3 Ct",Pop Secret,2.58,3.2,16255206,7,D,6,16,6,3
Snacks,Chips,131057,https://www.walmart.com/ip/Doritos-Spicy-Sweet-Chili-Flavored-Tortilla-Chips-9-25-oz-Bag/255598317?fulfillmentIntent=Pickup,"Doritos Spicy Sweet Chili Flavored Tortilla Chips, 9.25 oz Bag",Doritos,3.98,9.25,16269988,7,D,5,11,1,3
Snacks,Chips,127828,https://www.walmart.com/ip/Great-Value-Extra-Butter-Flavored-Microwave-Popcorn-2-55-Oz-12-Count/812120929?fulfillmentIntent=Pickup,"Great Value Extra Butter Flavored Microwave Popcorn, 2.55 Oz, 12 Count",Great Value,4.5,2.55,16201549,7,D,4,2,2,7
Snacks,Chips,129758,https://www.walmart.com/ip/SkinnyPop-Gluten-Free-Original-Popcorn-6-7-oz-Bag/885009077?fulfillmentIntent=Pickup,"SkinnyPop Gluten-Free Original Popcorn, 6.7 oz Bag",SkinnyPop,4.58,6.7,16238143,7,D,2,12,2,7
Snacks,Chips,136730,https://www.walmart.com/ip/Pringles-Potato-Crisps-Chips-Loaded-Nachos-4-8-Oz-Can/794162593?fulfillmentIntent=Pickup,"Pringles Potato Crisps Chips, Loaded Nachos, 4.8 Oz, Can",Pringles,1.96,4.8,16355181,7,D,2,4,4,3
Snacks,Chips,127040,https://www.walmart.com/ip/Kernel-Season-s-Butter-Popcorn-Seasoning-2-85-oz/10532867?fulfillmentIntent=Pickup,"Kernel Season's Butter Popcorn Seasoning, 2.85 oz",Kernel Season's,2.98,2.85,16190112,7,D,2,14,4,7
Snacks,Chips,128652,https://www.walmart.com/ip/Fritos-Flamin-Hot-Flavored-Corn-Chips-9-25-Oz/49909665?fulfillmentIntent=Pickup,"Fritos Flamin' Hot Flavored Corn Chips, 9.25 Oz.",Fritos,3.98,9.25,16233016,7,D,6,6,6,3
Snacks,Chips,132784,https://www.walmart.com/ip/Stonefire-Authentic-Flatbreads-Garlic-Cheese-Naan-Crisps-6-oz/343467247?fulfillmentIntent=Pickup,"Stonefire Authentic Flatbreads Garlic & Cheese Naan Crisps, 6 oz",Stonefire,3.3,6,16289495,7,D,4,18,8,5
Snacks,Chips,135622,https://www.walmart.com/ip/Lay-s-Potato-Chips-Sour-Cream-Onion-Flavor-7-75-oz-Bag/33282306?fulfillmentIntent=Pickup,"Lay's Potato Chips, Sour Cream & Onion Flavor, 7.75 oz Bag",Lay's,3.48,7.75,16332324,7,D,4,16,6,7
Snacks,Chips,126556,https://www.walmart.com/ip/Great-Value-Restaurant-Style-White-Corn-Tortilla-Chips-13-oz/12335104?fulfillmentIntent=Pickup,"Great Value Restaurant Style White Corn Tortilla Chips, 13 oz",Great Value,1.82,13,16173931,7,D,4,10,10,7
Snacks,Chips,133419,https://www.walmart.com/ip/Gardetto-s-Snack-Mix-Original-Recipe-Multipack-Snack-Bags-1-75-oz-10-ct/840600569?fulfillmentIntent=Pickup&athbdg=L1600,"Gardetto's Snack Mix, Original Recipe, Multipack Snack Bags, 1.75 oz, 10 ct",Gardetto's,6.24,1.75,16307116,7,D,3,13,3,7
Snacks,Chips,135807,https://www.walmart.com/ip/Angie-s-BoomChickaPop-Sweet-Salty-Kettle-Corn-1-oz-Pre-Popped-Popcorn-Bags-6-ct/49863609?fulfillmentIntent=Pickup,"Angie's BoomChickaPop Sweet & Salty Kettle Corn, 1 oz Pre-Popped Popcorn Bags, 6 ct",Angie's,5.38,1,16341629,7,D,3,1,1,7
Snacks,Chips,132977,https://www.walmart.com/ip/Lay-s-Layers-Sour-Cream-Onion-Flavored-Potato-Chip-Snacks-4-75-oz/552114968?fulfillmentIntent=Pickup&athbdg=L1300,"Lay's Layers Sour Cream & Onion Flavored Potato Chip Snacks, 4.75 oz",Lay's,3.0,4.75,16292014,7,D,5,11,1,7
Snacks,Chips,132138,https://www.walmart.com/ip/Lay-s-Wavy-Original-Potato-Chips-Party-Size-13-oz-Bag/652141083?fulfillmentIntent=Pickup,"Lay's Wavy Original Potato Chips, Party Size, 13 oz Bag",Lay's,4.78,13,16283163,7,D,6,12,2,7
Snacks,Chips,134942,https://www.walmart.com/ip/Gardetto-s-Snack-Mix-Roasted-Garlic-Rye-Chips-14-oz/47905681?fulfillmentIntent=Pickup,"Gardetto's Snack Mix, Roasted Garlic Rye Chips, 14 oz",Gardetto's,3.96,14,16320577,7,D,2,16,6,7
Snacks,Chips,131035,https://www.walmart.com/ip/Great-Value-Barbecue-Flavored-Potato-Chips-7-75-oz/807151368?fulfillmentIntent=Pickup,"Great Value Barbecue Flavored Potato Chips, 7.75 oz",Great Value,1.66,7.75,16269901,7,D,1,9,9,5
Snacks,Chips,128892,https://www.walmart.com/ip/The-Good-Crisp-Company-Gluten-Free-Outback-BBQ-Potato-Crisps-5-6-oz/463228410?fulfillmentIntent=Pickup,The Good Crisp Company Gluten Free Outback BBQ Potato Crisps 5.6 oz,The Good Crisp Company,3.28,5.6,16233551,7,D,6,6,6,7
Snacks,Chips,135071,https://www.walmart.com/ip/Orville-Redenbacher-s-Original-Premium-White-Popcorn-Kernels-30-Oz/39560954?fulfillmentIntent=Pickup,"Orville Redenbacher's Original Premium White Popcorn Kernels, 30 Oz",Orville Redenbacher's,5.18,30,16320946,7,D,5,5,5,7
Snacks,Chips,134665,https://www.walmart.com/ip/Tostitos-Medium-Chunky-Salsa-69-oz/115893240?fulfillmentIntent=Pickup,Tostitos Medium Chunky Salsa 69 oz,Tostitos,8.98,69,16320144,7,D,1,19,9,5
Snacks,Chips,126079,https://www.walmart.com/ip/Mac-s-Bar-B-Q-Crispy-Fried-Pork-Skins-5-oz-Bag/49581145?fulfillmentIntent=Pickup&athbdg=L1300,"Mac's Bar-B-Q Crispy Fried Pork Skins, 5 oz Bag",Mac's,2.78,5,16169374,7,D,1,13,3,7
Snacks,Chips,136895,https://www.walmart.com/ip/Takis-Kettlez-Fuego-Potato-Chips-Hot-Chili-Pepper-and-Lime-Artificially-Flavored-Chips-2-5-Ounce-Bag/529211558?fulfillmentIntent=Pickup,"Takis Kettlez Fuego Potato Chips, Hot Chili Pepper and Lime Artificially Flavored Chips, 2.5 Ounce Bag",Takis,1.98,2.5,16355735,7,D,5,9,9,3
Snacks,Chips,134105,https://www.walmart.com/ip/ACT-II-Butter-Microwave-Popcorn-Butter-Popcorn-2-75-Oz-12-Ct/17209283?fulfillmentIntent=Pickup,"ACT II Butter Microwave Popcorn, Butter Popcorn, 2.75 Oz, 12 Ct",Act II,5.16,2.75,16312142,7,D,5,19,9,7
Snacks,Chips,131380,https://www.walmart.com/ip/Siete-Family-Foods-Grain-Free-Almond-Flour-Tortillas-7oz-8-Count/938707953?fulfillmentIntent=Pickup,"Siete Family Foods Grain Free Almond Flour Tortillas, 7oz., 8 Count",Siete Family Foods,9.24,7,16270409,7,D,4,14,4,7
