DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Candy,Chocolate,100501,https://www.walmart.com/ip/HERSHEY-S-Milk-Chocolate-Snack-Size-Candy-Bars-Halloween-10-35-oz-Bag/484835173?fulfillmentIntent=Pickup,"HERSHEY'S, Milk Chocolate Snack Size Candy Bars, Halloween, 10.35 oz, Bag",Hershey's,3.48,10.35,16355924,30,E,4,12,2,3
Candy,Chocolate,100005,https://www.walmart.com/ip/HERSHEY-S-Milk-Chocolate-Candy-Bar-Full-Size-1-55-oz-Bar/38253413?fulfillmentIntent=Pickup,"HERSHEY'S Milk Chocolate Candy Bar, Full Size, 1.55 oz, Bar",Hershey's,1.14,1.55,16354979,30,E,6,16,6,7
Candy,Chocolate,101016,https://www.walmart.com/ip/Butterfinger-Chocolatey-Peanut-Buttery-Individually-Wrapped-Full-Size-Candy-Bar-Great-for-Halloween-Candy-1-9-oz/966108792?fulfillmentIntent=Pickup,"Butterfinger, Chocolatey, Peanut-Buttery, Individually Wrapped Full Size Candy Bar, Great for Halloween Candy, 1.9 oz",Butterfinger,0.98,1.9,16365147,30,E,3,7,7,7
Candy,Chocolate,100162,https://www.walmart.com/ip/M-M-s-Caramel-Milk-Chocolate-Candy-Family-Size-18-4-oz-Bag/167767960?fulfillmentIntent=Pickup,"M&M's Caramel Milk Chocolate Candy, Family Size - 18.4 oz Bag",M&M'S,6.98,18.4,16355343,30,E,1,13,3,7
Candy,Chocolate,86675,https://www.walmart.com/ip/HERSHEY-S-KISSES-Milk-Chocolate-with-Almonds-Candy-Individually-Wrapped-5-3-oz-Bag/38253407?fulfillmentIntent=Pickup,"HERSHEY'S, KISSES Milk Chocolate with Almonds Candy, Individually Wrapped, 5.3 oz, Bag",Hershey's,2.08,5.3,16176946,30,E,2,6,6,7
Candy,Chocolate,94213,https://www.walmart.com/ip/Russell-Stover-Sugar-Free-Chocolate-Toffee-Squares-with-Stevia-3-oz-Bag/10533775?fulfillmentIntent=Pickup,"Russell Stover Sugar Free Chocolate Toffee Squares with Stevia, 3 oz. Bag",Russell Stover,2.18,3,16281595,30,E,4,4,4,7
Candy,Chocolate,93625,https://www.walmart.com/ip/Orchard-Valley-Harvest-Dark-Chocolate-Almonds-8-1-oz-Bags/47585465?fulfillmentIntent=Pickup,Orchard Valley Harvest Dark Chocolate Almonds 8-1 oz Bags,Orchard Valley Harvest,5.98,1,16279502,30,E,4,16,6,7
Candy,Chocolate,96576,https://www.walmart.com/ip/HERSHEY-S-Milk-Chocolate-Snack-Size-Candy-Bars-Halloween-19-8-oz-Jumbo-Bag/870788980?fulfillmentIntent=Pickup,"HERSHEY'S, Milk Chocolate Snack Size Candy Bars, Halloween, 19.8 oz, Jumbo Bag",Hershey's,5.74,19.8,16303013,30,E,3,7,7,3
Candy,Chocolate,100306,https://www.walmart.com/ip/GHIRARDELLI-White-Chocolate-Squares-with-Caramel-Filling-8-9-OZ-Bag/770818986?fulfillmentIntent=Pickup,"GHIRARDELLI White Chocolate Squares with Caramel Filling, 8.9 OZ Bag",Ghirardelli,6.48,8.9,16355574,30,E,1,17,7,7
Candy,Chocolate,90045,https://www.walmart.com/ip/Snickers-Peanut-Brownie-Squares-Share-Size-Chocolate-Candy-Bar-2-4-oz/657923901?fulfillmentIntent=Pickup,"Snickers Peanut Brownie Squares Share Size Chocolate Candy Bar, 2.4 oz",Snickers,1.98,2.4,16222794,30,E,6,16,6,4
