DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Coffee,Coffee By Type,539592,https://www.walmart.com/ip/International-Delight-Mocha-Iced-Coffee-64-Oz/19856851?fulfillmentIntent=Pickup,"International Delight Mocha Iced Coffee, 64 Oz.",International Delight,4.28,64,16690074,5,E,2,20,10,7
Coffee,Coffee By Type,536457,https://www.walmart.com/ip/Great-Value-Donut-Shop-100-Arabica-Medium-Roast-Ground-Coffee-Pods-12-Ct/42124213?fulfillmentIntent=Pickup,"Great Value Donut Shop 100% Arabica Medium Roast Ground Coffee Pods, 12 Ct",Great Value,4.78,12,16646489,5,E,5,5,5,7
Coffee,Coffee By Type,533314,https://www.walmart.com/ip/Folgers-Hazelnut-Artificially-Flavored-Ground-Coffee-11-5-Ounce/13448632?fulfillmentIntent=Pickup,"Folgers Hazelnut Artificially Flavored Ground Coffee, 11.5-Ounce",Folgers,5.72,11.5,16585804,5,E,6,2,2,3
Coffee,Coffee By Type,537211,https://www.walmart.com/ip/Starbucks-Breakfast-Blend-Ground-Coffee-Medium-Roast-18-oz/241815741?fulfillmentIntent=Pickup,"Starbucks Breakfast Blend, Ground Coffee, Medium Roast, 18 oz",Starbucks,12.48,18,16654703,5,E,3,19,9,7
Coffee,Coffee By Type,530313,https://www.walmart.com/ip/McCafe-Premium-Roast-Ground-Coffee-Medium-Roast-12-oz-Bagged/42286893?fulfillmentIntent=Pickup,"McCafe Premium Roast Ground Coffee, Medium Roast, 12 oz Bagged",McCafé,6.84,12,16506035,5,E,5,1,1,5
Coffee,Coffee By Type,538770,https://www.walmart.com/ip/Nestle-Coffee-mate-Original-Liquid-Coffee-Creamer-Singles-9-fl-oz/786558328?fulfillmentIntent=Pickup&athbdg=L1600,Nestle Coffee mate Original Liquid Coffee Creamer Singles 9 fl oz,Coffeemate,4.98,9,16677012,5,E,2,18,8,7
Coffee,Coffee By Type,539051,https://www.walmart.com/ip/Folgers-Coffeehouse-Blend-Ground-Coffee-Medium-Dark-Roast-22-6-Ounce/558621800?fulfillmentIntent=Pickup,"Folgers Coffeehouse Blend Ground Coffee, Medium-Dark Roast, 22.6-Ounce",Folgers,10.24,22.6,16677697,5,E,1,19,9,7
Coffee,Coffee By Type,534063,https://www.walmart.com/ip/Community-Coffee-Breakfast-Blend-Medium-Roast-Keurig-Coffee-Pods-48-Ct/295049280?fulfillmentIntent=Pickup,"Community Coffee Breakfast Blend Medium Roast Keurig Coffee Pods, 48 Ct",Community Coffee,26.72,48,16596729,5,E,5,11,1,7
Coffee,Coffee By Type,532161,https://www.walmart.com/ip/Starbucks-Espresso-Roast-Ground-Coffee-Dark-Roast-18-oz/825347810?fulfillmentIntent=Pickup,"Starbucks Espresso Roast, Ground Coffee, Dark Roast, 18 oz",Starbucks,12.48,18,16560385,5,E,5,9,9,7
Coffee,Coffee By Type,532634,https://www.walmart.com/ip/Black-Rifle-Coffee-Caramel-Vanilla-15oz/847517851?fulfillmentIntent=Pickup&athbdg=L1600,Black Rifle Coffee Caramel Vanilla 15oz,Black Rifle Coffee,2.98,15,16573978,5,E,4,2,2,7
