DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Bakery & Bread,Cookies & Brownies,227864,https://www.walmart.com/ip/Freshness-Guaranteed-Carrot-Cake-Square-7-25-oz/199785896?fulfillmentIntent=Pickup&athbdg=L1200,"Freshness Guaranteed Carrot Cake Square, 7.25 oz",Freshness Guaranteed,1.98,7.25,16382976,10,C,6,2,2,8
Bakery & Bread,Cookies & Brownies,226944,https://www.walmart.com/ip/Marketside-Peanut-Butter-Cup-Cookies-13-5-oz-6-Count/832343967?fulfillmentIntent=Pickup,"Marketside Peanut Butter Cup Cookies, 13.5 oz, 6 Count",Marketside,4.98,13.5,16376751,10,C,4,2,2,7
Bakery & Bread,Cookies & Brownies,226555,https://www.walmart.com/ip/Freshness-Guaranteed-Pumpkin-Cake-Bites-13-5-oz-16-Count/390077281?fulfillmentIntent=Pickup,"Freshness Guaranteed Pumpkin Cake Bites, 13.5 oz., 16 Count",Freshness Guaranteed,5.98,13.5,16375523,10,C,5,13,3,8
Bakery & Bread,Cookies & Brownies,225651,https://www.walmart.com/ip/Freshness-Guaranteed-No-Sugar-Added-Oatmeal-Raisin-Cookies-14-oz-10-Count/378125752?fulfillmentIntent=Pickup,"Freshness Guaranteed No Sugar Added Oatmeal Raisin Cookies, 14 oz, 10 Count",Freshness Guaranteed,3.47,14,16369848,10,C,1,9,9,10
Bakery & Bread,Cookies & Brownies,227756,https://www.walmart.com/ip/Freshness-Guaranteed-New-York-Style-Strawberry-Swirl-Cheesecakes-6-oz-2-count/17056907?fulfillmentIntent=Pickup,"Freshness Guaranteed New York Style & Strawberry Swirl Cheesecakes, 6 oz, 2 count",Freshness Guaranteed,2.46,6,16382799,10,C,6,14,4,10
Bakery & Bread,Cookies & Brownies,225766,https://www.walmart.com/ip/Freshness-Guaranteed-Orange-Cranberry-Sweet-Biscuits-10-oz-14-Count/385443145?fulfillmentIntent=Pickup,"Freshness Guaranteed Orange Cranberry Sweet Biscuits, 10 oz, 14 Count",Freshness Guaranteed,3.98,10,16370115,10,C,2,4,4,8
Bakery & Bread,Cookies & Brownies,225635,https://www.walmart.com/ip/Marketside-Decadent-Chocolate-Chunk-Cookies-3-75-oz-3-Count/815609048?fulfillmentIntent=Pickup,"Marketside Decadent Chocolate Chunk Cookies, 3.75 oz, 3 Count",Marketside,1.46,3.75,16369832,10,C,3,13,3,1
Bakery & Bread,Cookies & Brownies,225859,https://www.walmart.com/ip/Freshness-Guaranteed-Iced-Vanilla-Cookies-Black-and-White-8-oz-10-Count/904224556?fulfillmentIntent=Pickup,"Freshness Guaranteed Iced Vanilla Cookies, Black and White, 8 oz,  10 Count",Freshness Guaranteed,4.48,8,16373546,10,C,5,17,7,10
Bakery & Bread,Cookies & Brownies,225459,https://www.walmart.com/ip/Marketside-Decadent-White-Chocolate-Macadamia-Nut-Cookies-13-5-oz-6-Count/824672635?fulfillmentIntent=Pickup,"Marketside Decadent White Chocolate Macadamia Nut Cookies, 13.5 oz, 6 Count",Marketside,4.98,13.5,16369352,10,C,1,17,7,4
Bakery & Bread,Cookies & Brownies,225557,https://www.walmart.com/ip/Freshness-Guaranteed-Frosted-Sugar-Cookies-27-oz-20-Count/107911785?fulfillmentIntent=Pickup,"Freshness Guaranteed Frosted Sugar Cookies, 27 oz, 20 Count",Freshness Guaranteed,5.98,27,16369628,10,C,3,15,5,7
Bakery & Bread,Cookies & Brownies,228027,https://www.walmart.com/ip/Marketside-Chocolate-Chip-Edible-Cookie-Dough-6-oz/705041683?fulfillmentIntent=Pickup,"Marketside Chocolate Chip Edible Cookie Dough, 6 oz",Marketside,2.48,6,16685960,10,C,1,5,5,7
Bakery & Bread,Cookies & Brownies,228012,https://www.walmart.com/ip/Marketside-Yogurt-Parfait-with-Diced-Apples-8-5-oz/28848300?fulfillmentIntent=Pickup,"Marketside Yogurt Parfait with Diced Apples, 8.5 oz",Marketside,3.97,8.5,16685886,10,C,4,10,10,7
Bakery & Bread,Cookies & Brownies,227680,https://www.walmart.com/ip/Marketside-Individually-Wrapped-Iced-Cinnamon-Swirl-Cake-3-3-Oz/572117323?fulfillmentIntent=Pickup,"Marketside Individually Wrapped Iced Cinnamon Swirl Cake, 3.3 Oz",Marketside,1.46,3.3,16382626,10,C,2,18,8,7
Bakery & Bread,Cookies & Brownies,225690,https://www.walmart.com/ip/Freshness-Guaranteed-Iced-Mini-Lemon-Cake-Bites-12-oz-12-Count/193937377?fulfillmentIntent=Pickup,"Freshness Guaranteed Iced Mini Lemon Cake Bites, 12 oz. 12 Count",Freshness Guaranteed,4.48,12,16369973,10,C,4,8,8,7
Bakery & Bread,Cookies & Brownies,225889,https://www.walmart.com/ip/Freshness-Guaranteed-Frosted-Sugar-Cookies-27-oz-20-Count/107911785?fulfillmentIntent=Pickup,"Freshness Guaranteed Frosted Sugar Cookies, 27 oz, 20 Count",Freshness Guaranteed,5.98,27,16373590,10,C,5,7,7,7
Bakery & Bread,Cookies & Brownies,226780,https://www.walmart.com/ip/Marketside-Decadent-Oatmeal-Raisin-Cookies-3-75-oz-3-Count/336241511?fulfillmentIntent=Pickup,"Marketside Decadent Oatmeal Raisin Cookies, 3.75 oz, 3 Count",Marketside,1.46,3.75,16376334,10,C,2,18,8,1
Bakery & Bread,Cookies & Brownies,227612,https://www.walmart.com/ip/Freshness-Guaranteed-Cheesecake-New-York-Style-8-oz/500693145?fulfillmentIntent=Pickup,"Freshness Guaranteed Cheesecake, New York Style, 8 oz",Freshness Guaranteed,3.98,8,16382437,10,C,6,10,10,10
Bakery & Bread,Cookies & Brownies,225633,https://www.walmart.com/ip/Freshness-Guaranteed-Double-Chocolate-Cookies-14oz-10-Count/298348868?fulfillmentIntent=Pickup,"Freshness Guaranteed Double Chocolate Cookies, 14oz , 10 Count",Freshness Guaranteed,3.47,14,16369830,10,C,1,11,1,10
