DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Snacks,Crackers,171252,https://www.walmart.com/ip/Kellogg-s-Club-Crackers-Original-6-Ct-12-5-Oz-Box/50733074?fulfillmentIntent=Pickup,"Kellogg's Club Crackers, Original, 6 Ct, 12.5 Oz, Box",Keebler,3.38,12.5,16211823,11,E,6,18,8,5
Snacks,Crackers,171046,https://www.walmart.com/ip/Great-Value-Unsalted-Tops-Saltine-Crackers-16-oz-4-Count/10315397?fulfillmentIntent=Pickup,"Great Value Unsalted Tops Saltine Crackers, 16 oz, 4 Count",Great Value,1.12,16,16208746,11,E,4,12,2,8
Snacks,Crackers,171973,https://www.walmart.com/ip/Cheez-It-Extra-Big-Cheese-Crackers-Original-11-7-Oz-Box/21009120?fulfillmentIntent=Pickup,"Cheez-It Extra Big Cheese Crackers, Original, 11.7 Oz, Box",Cheez-It,3.48,11.7,16243548,11,E,1,19,9,7
Snacks,Crackers,173207,https://www.walmart.com/ip/Wheat-Thins-Hint-of-Salt-Low-Sodium-Whole-Grain-Wheat-Crackers-8-5-oz/797351932?fulfillmentIntent=Pickup,"Wheat Thins Hint of Salt Low Sodium Whole Grain Wheat Crackers, 8.5 oz",Wheat Thins,3.36,8.5,16278270,11,E,5,13,3,7
Snacks,Crackers,175463,https://www.walmart.com/ip/Gerber-Snacks-for-Toddler-Animal-Crackers-Cinnamon-Graham-Crackers-6-oz-Bag/10294796?fulfillmentIntent=Pickup,"Gerber Snacks for Toddler Animal Crackers , Cinnamon Graham Crackers, 6 oz Bag",Gerber,2.54,6,16348173,11,E,5,9,9,7
Snacks,Crackers,171431,https://www.walmart.com/ip/Pepperidge-Farm-Goldfish-Cheddar-Crackers-Baked-with-Whole-Grain-30-oz-Carton/21555742?fulfillmentIntent=Pickup&athbdg=L1300,"Pepperidge Farm Goldfish Cheddar Crackers, Baked with Whole Grain, 30 oz. Carton",Goldfish,8.98,30,16212231,11,E,5,17,7,7
Snacks,Crackers,174818,https://www.walmart.com/ip/Cracker-Barrel-Pairing-Boards-with-Havarti-Cheese-Uncured-Hard-Salami-Multigrain-Crackers-2-9-oz-Tray/823219266?fulfillmentIntent=Pickup,"Cracker Barrel Pairing Boards with Havarti Cheese, Uncured Hard Salami & Multigrain Crackers, 2.9 oz Tray",Cracker Barrel,2.5,2.9,16331342,11,E,2,4,4,7
Snacks,Crackers,174925,https://www.walmart.com/ip/Annie-s-Organic-Friends-Bunny-Graham-Snacks-Chocolate-Chip-Chocolate-Honey-11-25-oz-Box/184971132?fulfillmentIntent=Pickup,"Annie's Organic Friends Bunny Graham Snacks, Chocolate Chip, Chocolate & Honey, 11.25 oz. Box",Annie's,3.82,11.25,16331569,11,E,1,11,1,7
Snacks,Crackers,175515,https://www.walmart.com/ip/Triscuit-Cracked-Pepper-Olive-Oil-Whole-Grain-Wheat-Crackers-8-5-oz/406282613?fulfillmentIntent=Pickup,"Triscuit Cracked Pepper & Olive Oil Whole Grain Wheat Crackers, 8.5 oz",Triscuit,3.48,8.5,16348340,11,E,3,1,1,7
Snacks,Crackers,170716,https://www.walmart.com/ip/RITZ-Fresh-Stacks-Original-Crackers-Family-Size-17-8-oz/52234929?fulfillmentIntent=Pickup,"RITZ Fresh Stacks Original Crackers, Family Size, 17.8 oz",Ritz,4.28,17.8,16192237,11,E,4,2,2,7
Snacks,Crackers,175218,https://www.walmart.com/ip/Goldfish-Colors-Crackers-Snack-Pack-0-9-oz-12-CT-Multi-Pack-Tray/10403196?fulfillmentIntent=Pickup,"Goldfish Colors Crackers, Snack Pack, 0.9 oz, 12 CT Multi-Pack Tray",Goldfish,6.43,0.9,16344412,11,E,6,4,4,5
Snacks,Crackers,174719,https://www.walmart.com/ip/Cheez-It-Cheese-Crackers-Hot-and-Spicy-12-4-Oz-Box/24553282?fulfillmentIntent=Pickup,"Cheez-It Cheese Crackers, Hot and Spicy, 12.4 Oz, Box",Cheez-It,3.48,12.4,16331243,11,E,5,5,5,3
Snacks,Crackers,172370,https://www.walmart.com/ip/Kellogg-s-Sweet-and-Salty-Variety-Pack-12-Ct-12-Oz-Box/688217595?fulfillmentIntent=Pickup,"Kellogg's Sweet and Salty, Variety Pack, 12 Ct, 12 Oz, Box",Kellogg's,5.72,12,16256003,11,E,2,16,6,5
Snacks,Crackers,172649,https://www.walmart.com/ip/Cheez-It-Snap-d-Cheese-Cracker-Chips-Jalapeno-Jack-7-5-Oz-Bag/311330588?fulfillmentIntent=Pickup&athbdg=L1300,"Cheez-It Snap'd Cheese Cracker Chips, Jalapeno Jack, 7.5 Oz, Bag",Cheez-It,3.68,7.5,16262808,11,E,5,15,5,3
Snacks,Crackers,175412,https://www.walmart.com/ip/Wheat-Thins-Hint-of-Salt-Low-Sodium-Whole-Grain-Wheat-Crackers-8-5-oz/797351932?fulfillmentIntent=Pickup,"Wheat Thins Hint of Salt Low Sodium Whole Grain Wheat Crackers, 8.5 oz",Wheat Thins,3.36,8.5,16348042,11,E,2,18,8,7
Snacks,Crackers,174465,https://www.walmart.com/ip/Wheat-Thins-Hint-of-Salt-Low-Sodium-Whole-Grain-Wheat-Crackers-8-5-oz/797351932?fulfillmentIntent=Pickup,"Wheat Thins Hint of Salt Low Sodium Whole Grain Wheat Crackers, 8.5 oz",Wheat Thins,3.36,8.5,16313801,11,E,3,11,1,7
Snacks,Crackers,172843,https://www.walmart.com/ip/Great-Value-Everything-Seasoned-Crackers-7-oz/337248267?fulfillmentIntent=Pickup,"Great Value Everything Seasoned Crackers, 7 oz",Great Value,2.28,7,16266204,11,E,1,9,9,8
Snacks,Crackers,175483,https://www.walmart.com/ip/Munchies-Peanut-Butter-on-Cheese-Crackers-1-42-Ounce/19759443?fulfillmentIntent=Pickup,"Munchies Peanut Butter on Cheese Crackers, 1.42 Ounce",Munchies,0.6,1.42,16348308,11,E,1,9,9,4
Snacks,Crackers,175248,https://www.walmart.com/ip/Great-Value-White-Cheddar-Cheese-Crackers-12-4-oz/810369388?fulfillmentIntent=Pickup,"Great Value White Cheddar Cheese Crackers, 12.4 oz",Great Value,1.98,12.4,16347704,11,E,6,14,4,5
Snacks,Crackers,172280,https://www.walmart.com/ip/Kellogg-s-Town-House-Crackers-Original-13-8-Oz-Box/33338132?fulfillmentIntent=Pickup,"Kellogg's Town House Crackers, Original, 13.8 Oz, Box","Keebler, Town House",3.48,13.8,16255913,11,E,2,6,6,5
Snacks,Crackers,170669,https://www.walmart.com/ip/ParmCrisps-Spicy-Queso-Real-Cheese-Oven-Baked-Parm-Crisp-Snack-1-75-oz/685633516?fulfillmentIntent=Pickup&athbdg=L1300,"ParmCrisps Spicy Queso Real Cheese Oven-Baked Parm Crisp Snack, 1.75 oz.",That's How We Roll,3.78,1.75,16184363,11,E,5,15,5,7
Snacks,Crackers,175440,https://www.walmart.com/ip/Taco-Bell-Keto-Taco-Supreme-Cheddar-Cheese-Crisps-2oz/926042067?fulfillmentIntent=Pickup,"Taco Bell, Keto, Taco Supreme Cheddar Cheese Crisps, 2oz",Taco Bell,2.94,2,16348070,11,E,6,6,6,7
Snacks,Crackers,171395,https://www.walmart.com/ip/Wheat-Thins-Reduced-Fat-Whole-Grain-Wheat-Crackers-8-oz/902539697?fulfillmentIntent=Pickup,"Wheat Thins Reduced Fat Whole Grain Wheat Crackers, 8 oz",Wheat Thins,3.28,8,16212155,11,E,5,1,1,7
Snacks,Crackers,170217,https://www.walmart.com/ip/Croley-Foods-Butter-Cream-Ube-Crackers-0-88-Oz-10-Ct/147697168?fulfillmentIntent=Pickup,"Croley Foods Butter Cream Ube Crackers, 0.88 Oz, 10 Ct",London,2.94,0.88,16171521,11,E,3,3,3,7
Snacks,Crackers,170142,https://www.walmart.com/ip/Barnum-s-Original-Animal-Crackers-12-1-oz-Snack-Packs/43200060?fulfillmentIntent=Pickup,"Barnum's Original Animal Crackers, 12 - 1 oz Snack Packs",Barnum's Animals,6.44,1,16171380,11,E,6,8,8,5
Snacks,Crackers,175400,https://www.walmart.com/ip/Kellogg-s-Town-House-Crackers-Original-20-7-Oz-Box/51316694?fulfillmentIntent=Pickup,"Kellogg's Town House Crackers, Original, 20.7 Oz, Box","Keebler, Town House",4.28,20.7,16347958,11,E,2,6,6,5
Snacks,Crackers,174615,https://www.walmart.com/ip/Triscuit-Rosemary-Olive-Oil-Whole-Grain-Wheat-Crackers-Family-Size-12-5-oz/106055395?fulfillmentIntent=Pickup,"Triscuit Rosemary & Olive Oil Whole Grain Wheat Crackers, Family Size, 12.5 oz",Triscuit,4.88,12.5,16314071,11,E,3,1,1,7
Snacks,Crackers,175869,https://www.walmart.com/ip/Cheez-It-Snap-d-Cheese-Cracker-Chips-Double-Cheese-7-5-Oz-Bag/535799803?fulfillmentIntent=Pickup&athbdg=L1300,"Cheez-It Snap'd Cheese Cracker Chips, Double Cheese, 7.5 Oz, Bag",Cheez-It,3.68,7.5,16366327,11,E,3,15,5,3
Snacks,Crackers,174668,https://www.walmart.com/ip/Simple-Mills-Crackers-Fine-Ground-Sea-Salt-Almond-Flour-4-25-oz/192935499?fulfillmentIntent=Pickup,"Simple Mills Crackers, Fine Ground Sea Salt, Almond Flour, 4.25 oz.",Simple Mills,4.48,4.25,16314124,11,E,2,14,4,7
Snacks,Crackers,171439,https://www.walmart.com/ip/Cheez-It-Snap-d-Cheese-Cracker-Chips-Cheddar-Sour-Cream-Onion-12-Ct-9-Oz-Box/320913673?fulfillmentIntent=Pickup,"Cheez-It Snap'd Cheese Cracker Chips, Cheddar Sour Cream Onion, 12 Ct, 9 Oz, Box",Cheez-It,5.72,9,16212239,11,E,1,5,5,7
Snacks,Crackers,175014,https://www.walmart.com/ip/Colombina-Crackers-Club-7-2-oz/143243481?fulfillmentIntent=Pickup,"Colombina Crackers, Club, 7.2 oz",Colombina,0.98,7.2,16333143,11,E,6,20,10,5
Snacks,Crackers,173774,https://www.walmart.com/ip/Goldfish-Flavor-Blasted-Xtra-Cheddar-Snack-Crackers-30-oz-carton/16940091?fulfillmentIntent=Pickup&athbdg=L1300,"Goldfish Flavor Blasted Xtra Cheddar Snack Crackers, 30 oz carton",Goldfish,8.98,30,16292966,11,E,2,20,10,3
Snacks,Crackers,172734,https://www.walmart.com/ip/Goldfish-Special-Edition-Disney-Mickey-Mouse-Cheddar-Crackers-Snack-Crackers-30-oz-carton/827816397?fulfillmentIntent=Pickup&athbdg=L1300,"Goldfish Special Edition Disney Mickey Mouse Cheddar Crackers, Snack Crackers, 30 oz carton",Goldfish,8.98,30,16263067,11,E,6,20,10,5
Snacks,Crackers,171325,https://www.walmart.com/ip/Triscuit-Smoked-Gouda-Whole-Grain-Wheat-Crackers-8-5-oz/476524885?fulfillmentIntent=Pickup,"Triscuit Smoked Gouda Whole Grain Wheat Crackers, 8.5 oz",Triscuit,3.48,8.5,16211967,11,E,1,11,1,7
