DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Dairy & Eggs,Eggs,71834,https://www.walmart.com/ip/Just-Crack-an-Egg-Scramble-Kit-Applewood-Ham-Cheddar-Cheese-Potatoes-Green-Peppers-Onions-for-a-Low-Carb-Lifestyle-3-oz-Cup/789317021?fulfillmentIntent=Pickup,"Just Crack an Egg Scramble Kit Applewood Ham, Cheddar Cheese, Potatoes Green Peppers Onions, for a Low Carb Lifestyle, 3 oz Cup",Just Crack an Egg,2.28,3,16194295,10,B,4,14,4,8
Dairy & Eggs,Eggs,72199,https://www.walmart.com/ip/Just-Crack-an-Egg-Omelet-Rounds-Three-Meat-Egg-Bites-with-Eggs-Pork-Sausage-Uncured-Bacon-Uncured-Ham-and-Cheddar-Cheese-2-ct-Pack/630427044?fulfillmentIntent=Pickup,"Just Crack an Egg Omelet Rounds Three Meat Egg Bites with Eggs, Pork Sausage, Uncured Bacon, Uncured Ham and Cheddar Cheese, 2 ct Pack",Just Crack an Egg,2.98,2,16275246,10,B,3,19,9,7
Dairy & Eggs,Eggs,71775,https://www.walmart.com/ip/Eggland-s-Best-Farm-Fresh-Large-White-Grade-A-Eggs-18ct/51259531?fulfillmentIntent=Pickup,"Eggland's Best Farm Fresh Large, White, Grade A Eggs, 18ct.",Eggland's Best,4.12,18,16192135,10,B,5,15,5,7
Dairy & Eggs,Eggs,71734,https://www.walmart.com/ip/Hannah-s-Ready-to-Eat-Pickled-Eggs-12-8-Oz/21002526?fulfillmentIntent=Pickup,"Hannah's Ready to Eat Pickled Eggs, 12.8 Oz.",Hannah's,6.27,12.8,16176359,10,B,6,14,4,7
Dairy & Eggs,Eggs,72416,https://www.walmart.com/ip/Marketside-Large-Cage-Free-Brown-Eggs-36-Oz-18-Ct/48319449?fulfillmentIntent=Pickup,"Marketside Large Cage Free Brown Eggs, 36 Oz, 18 Ct",Marketside,4.98,36,16359900,10,B,4,16,6,7
Dairy & Eggs,Eggs,72424,https://www.walmart.com/ip/Bob-Evans-100-Liquid-Egg-Whites-32-Oz/821371418?fulfillmentIntent=Pickup,"Bob Evans 100% Liquid Egg Whites, 32 Oz",Bob Evans,5.18,32,16359908,10,B,6,4,4,7
Dairy & Eggs,Eggs,72388,https://www.walmart.com/ip/Vital-Farms-Pasture-Raised-Grade-A-Brown-Eggs-Large-12-Ct/115864065?fulfillmentIntent=Pickup,"Vital Farms Pasture Raised Grade A Brown Eggs, Large, 12 Ct",Vital Farms,5.98,12,16352643,10,B,6,8,8,7
Dairy & Eggs,Eggs,71806,https://www.walmart.com/ip/JUST-Egg-Plant-Based-Egg-12oz/837888152?fulfillmentIntent=Pickup,"JUST Egg, Plant-Based Egg, 12oz",JUST Egg,3.94,12,16192166,10,B,6,6,6,7
Dairy & Eggs,Eggs,72117,https://www.walmart.com/ip/Eggland-s-Best-Vegetarian-Grade-AA-White-Eggs-Large-12-Ct/10324125?fulfillmentIntent=Pickup,"Eggland's Best Vegetarian Grade AA White Eggs Large, 12 Ct",Eggland's Best,2.92,12,16257540,10,B,5,17,7,5
Dairy & Eggs,Eggs,71705,https://www.walmart.com/ip/Eggland-s-Best-Farm-Fresh-Large-White-Grade-A-Eggs-18ct/51259531?fulfillmentIntent=Pickup,"Eggland's Best Farm Fresh Large, White, Grade A Eggs, 18ct.",Eggland's Best,4.12,18,16176330,10,B,1,5,5,7
Dairy & Eggs,Eggs,72060,https://www.walmart.com/ip/Eggland-s-Best-Vegetarian-Grade-A-White-Eggs-Extra-Large-12-Ct/10324126?fulfillmentIntent=Pickup,"Eggland's Best Vegetarian Grade A White Eggs Extra Large, 12 Ct",Eggland's Best,3.24,12,16239189,10,B,2,20,10,7
Dairy & Eggs,Eggs,72443,https://www.walmart.com/ip/Great-Value-100-Liquid-Egg-Whites-32-oz/13925176?fulfillmentIntent=Pickup&athbdg=L1600,Great Value 100% Liquid Egg Whites 32 oz,Great Value,4.14,32,16369409,10,B,1,3,3,8
Dairy & Eggs,Eggs,71847,https://www.walmart.com/ip/Eggland-s-Best-Organic-Grade-A-Brown-Eggs-Large-12-Ct/10449724?fulfillmentIntent=Pickup,"Eggland's Best Organic Grade A Brown Eggs Large, 12 Ct",Eggland's Best,4.67,12,16194308,10,B,5,7,7,7
Dairy & Eggs,Eggs,72129,https://www.walmart.com/ip/Just-Crack-an-Egg-Ultimate-Scramble-Breakfast-Bowl-Kit-with-Pork-Sausage-Mild-Cheddar-Cheese-Potatoes-Onions-and-Green-and-Red-Peppers-3-oz-Cup/428810474?fulfillmentIntent=Pickup,"Just Crack an Egg Ultimate Scramble Breakfast Bowl Kit with Pork Sausage, Mild Cheddar Cheese, Potatoes, Onions, and Green and Red Peppers, 3 oz. Cup",Just Crack an Egg,2.28,3,16257552,10,B,5,9,9,7
Dairy & Eggs,Eggs,72162,https://www.walmart.com/ip/Eggland-s-Best-Organic-Grade-A-Brown-Eggs-Large-12-Ct/10449724?fulfillmentIntent=Pickup,"Eggland's Best Organic Grade A Brown Eggs Large, 12 Ct",Eggland's Best,4.67,12,16274000,10,B,2,2,2,7
Dairy & Eggs,Eggs,71813,https://www.walmart.com/ip/JUST-Egg-Plant-Based-Egg-12oz/837888152?fulfillmentIntent=Pickup,"JUST Egg, Plant-Based Egg, 12oz",JUST Egg,3.94,12,16192232,10,B,1,13,3,7
