DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Beverages,Energy Drinks,3836,https://www.walmart.com/ip/5-hour-ENERGY-Shot-Extra-Strength-Berry-1-93-oz/28498163?fulfillmentIntent=Pickup&athbdg=L1600,"5-hour ENERGY Shot, Extra Strength, Berry, 1.93 oz",5-Hour Energy,2.98,1.93,16257327,2,F,2,10,10,7
Beverages,Energy Drinks,5357,https://www.walmart.com/ip/Great-Value-Blue-Raspberry-Drink-Enhancer-3-1-fl-oz/775614262?fulfillmentIntent=Pickup,"Great Value Blue Raspberry Drink Enhancer, 3.1 fl oz",Great Value,3.92,3.1,16336969,2,F,5,11,1,8
Beverages,Energy Drinks,3403,https://www.walmart.com/ip/Red-Bull-Energy-Drink-Blueberry-12-Fl-Oz-4-pack/158080429?fulfillmentIntent=Pickup,"Red Bull Energy Drink, Blueberry, 12 Fl Oz (4 pack)",Red Bull,10.48,12,16246125,2,F,1,17,7,3
Beverages,Energy Drinks,2178,https://www.walmart.com/ip/Juice-Monster-Pipeline-Punch-Energy-Juice-16-fl-oz-4-Pack/116711501?fulfillmentIntent=Pickup,"Juice Monster Pipeline Punch, Energy + Juice, 16 fl oz, 4 Pack",Monster Energy,7.18,16,16164277,2,F,6,12,2,7
Beverages,Energy Drinks,4726,https://www.walmart.com/ip/Bang-Cotton-Candy-Energy-Drink-16-fl-oz/300940252?fulfillmentIntent=Pickup,"Bang Cotton Candy Energy Drink, 16 fl oz",Bang,2.08,16,16307132,2,F,4,20,10,4
Beverages,Energy Drinks,5742,https://www.walmart.com/ip/NOS-High-Performance-Energy-Drink-16-fl-oz/123527363?fulfillmentIntent=Pickup,"NOS High Performance Energy Drink, 16 fl oz",NOS,1.98,16,16361401,2,F,6,16,6,7
Beverages,Energy Drinks,5280,https://www.walmart.com/ip/Monster-Green-12-fl-oz-6-Pack/758913705?fulfillmentIntent=Pickup,"Monster Green, 12 fl oz, 6 Pack",Monster Energy,10.48,12,16336613,2,F,6,14,4,7
Beverages,Energy Drinks,4556,https://www.walmart.com/ip/Bang-Keto-Coffee-Cookies-Cream-Craze-High-Protein-Energy-Drink-15-oz-Can/135996869?fulfillmentIntent=Pickup&athbdg=L1600,"Bang Keto Coffee Cookies & Cream Craze High Protein Energy Drink, 15 oz Can",Bang,2.98,15,16296214,2,F,2,10,10,7
Beverages,Energy Drinks,5399,https://www.walmart.com/ip/Bang-Cotton-Candy-Energy-Drink-16-fl-oz/300940252?fulfillmentIntent=Pickup&athbdg=L1300,"Bang Cotton Candy Energy Drink, 16 fl oz",Bang,2.08,16,16343308,2,F,5,13,3,4
Beverages,Energy Drinks,3105,https://www.walmart.com/ip/Monster-Energy-Zero-Ultra-Sugar-Free-Energy-Drink-16-fl-oz-12-Pack/394935847?fulfillmentIntent=Pickup,"Monster Energy Zero Ultra, Sugar Free Energy Drink, 16 fl oz, 12 Pack",Monster Energy,19.98,16,16216524,2,F,3,19,9,7
Beverages,Energy Drinks,3498,https://www.walmart.com/ip/Monster-Zero-Ultra-12-fl-oz-6-Pack/335496439?fulfillmentIntent=Pickup,"Monster Zero Ultra, 12 fl oz, 6 Pack",Monster Energy,10.48,12,16246507,2,F,6,12,2,5
Beverages,Energy Drinks,4953,https://www.walmart.com/ip/V8-ENERGY-Diet-Strawberry-Lemonade-Energy-Drink-8-FL-OZ-Can-Pack-of-6/32212700?fulfillmentIntent=Pickup,"V8 +ENERGY Diet Strawberry Lemonade Energy Drink, 8 FL OZ Can (Pack of 6)",V8,5.14,8,16322282,2,F,3,7,7,7
Beverages,Energy Drinks,5103,https://www.walmart.com/ip/Red-Bull-Energy-Drink-Blueberry-12-Fl-Oz/45733432?fulfillmentIntent=Pickup,"Red Bull Energy Drink, Blueberry, 12 Fl Oz",Red Bull,2.68,12,16326170,2,F,3,17,7,3
Beverages,Energy Drinks,5551,https://www.walmart.com/ip/Bang-Energy-Variety-Pack-16oz-12-count/917904614?fulfillmentIntent=Pickup,"Bang Energy Variety Pack, 16oz, 12 count",Bang,20.48,16,16343460,2,F,1,5,5,7
Beverages,Energy Drinks,5681,https://www.walmart.com/ip/5-hour-ENERGY-Shot-Extra-Strength-Peach-Mango-1-93-oz-15-Count/256691501?fulfillmentIntent=Pickup,"5-hour ENERGY  Shot, Extra Strength, Peach Mango, 1.93 oz, 15 Count",5-Hour Energy,30.68,1.93,16343630,2,F,5,15,5,7
Beverages,Energy Drinks,2832,https://www.walmart.com/ip/Red-Bull-Energy-Drink-12-Fl-Oz-4-pack/10316266?fulfillmentIntent=Pickup,"Red Bull Energy Drink, 12 Fl Oz (4 pack)",Red Bull,10.48,12,16206389,2,F,6,6,6,4
Beverages,Energy Drinks,5762,https://www.walmart.com/ip/5-hour-ENERGY-Shot-Extra-Strength-Blue-Raspberry-1-93-oz-15-Count/573929136?fulfillmentIntent=Pickup,"5-hour ENERGY  Shot, Extra Strength, Blue Raspberry, 1.93 oz, 15 Count",5-Hour Energy,30.68,1.93,16361421,2,F,2,16,6,7
