DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Fresh Produce,Fresh Fruits,436271,https://www.walmart.com/ip/Fresh-Pineberries-1-lb/443840508?fulfillmentIntent=Pickup,"Fresh Pineberries, 1 lb",FIELDPACK UNBRANDED,4.47,1.0,16639748,41,E,5,17,7,7
Fresh Produce,Fresh Fruits,435732,https://www.walmart.com/ip/Hydroponic-Strawberries-1-lb/649701131?fulfillmentIntent=Pickup,"Hydroponic Strawberries, 1 lb",PRODUCE UNBRANDED,4.47,1.0,16592263,41,E,6,18,8,7
Fresh Produce,Fresh Fruits,436359,https://www.walmart.com/ip/Fresh-Blueberries-18-oz/161115457?fulfillmentIntent=Pickup,"Fresh Blueberries, 18 oz",Produce Unbranded,4.64,18.0,16653393,41,E,3,5,5,7
Fresh Produce,Fresh Fruits,435244,https://www.walmart.com/ip/Marketside-Sliced-Apples-12-5-oz-5-Count/236423545?fulfillmentIntent=Pickup,"Marketside Sliced Apples, 12.5 oz, 5 Count",Marketside,4.97,12.5,16541272,41,E,4,10,10,7
Fresh Produce,Fresh Fruits,435217,https://www.walmart.com/ip/Freshness-Guaranteed-Mango-Chunks-10-ounces/49400503?fulfillmentIntent=Pickup,"Freshness Guaranteed Mango Chunks, 10 ounces",Freshness Guaranteed,3.97,10.0,16540945,41,E,1,3,3,8
Fresh Produce,Fresh Fruits,436973,https://www.walmart.com/ip/Fresh-Blackberries-12-oz/622057236?fulfillmentIntent=Pickup,"Fresh Blackberries, 12 oz",PRODUCE UNBRANDED,4.98,12.0,16683228,41,E,5,19,9,7
Fresh Produce,Fresh Fruits,435229,https://www.walmart.com/ip/Organic-Honeycrisp-Apples-2-lb-Pouch/269332623?fulfillmentIntent=Pickup,"Organic Honeycrisp Apples, 2 lb Pouch",Marketside,8.12,2.0,16541257,41,E,1,15,5,7
Fresh Produce,Fresh Fruits,434822,https://www.walmart.com/ip/Freshness-Guaranteed-Cantaloupe-Chunks-16-oz/14151382?fulfillmentIntent=Pickup,"Freshness Guaranteed Cantaloupe Chunks, 16 oz",Freshness Guaranteed,3.97,16.0,16511487,41,E,2,8,8,8
Fresh Produce,Fresh Fruits,435181,https://www.walmart.com/ip/Freshness-Guaranteed-Cantaloupe-Chunks-16-oz/14151382?fulfillmentIntent=Pickup,"Freshness Guaranteed Cantaloupe Chunks, 16 oz",Freshness Guaranteed,3.97,16.0,16540909,41,E,1,7,7,8
Fresh Produce,Fresh Fruits,434450,https://www.walmart.com/ip/Del-Monte-No-Sugar-Added-Red-Grapefruit-Jarred-Fruit-64-oz-Jar/20850532?fulfillmentIntent=Pickup,"Del Monte No Sugar Added Red Grapefruit, Jarred Fruit, 64 oz Jar",Del Monte,8.98,64.0,16488819,41,E,2,16,6,7
Fresh Produce,Fresh Fruits,435479,https://www.walmart.com/ip/Organic-Anjou-Pears-2-lb-Bag/47197248?fulfillmentIntent=Pickup,"Organic Anjou Pears, 2 lb Bag",PRODUCE UNBRANDED,5.76,2.0,16565435,41,E,5,5,5,7
Fresh Produce,Fresh Fruits,436480,https://www.walmart.com/ip/Freshness-Guaranteed-Watermelon-10-oz/44391299?fulfillmentIntent=Pickup,"Freshness Guaranteed Watermelon, 10 oz",Del Monte,3.24,10.0,16656273,41,E,4,6,6,8
Fresh Produce,Fresh Fruits,435570,https://www.walmart.com/ip/Navel-Oranges-5-lb-Bag/44391069?fulfillmentIntent=Pickup,"Navel Oranges, 5 lb Bag",PRODUCE UNBRANDED,8.98,5.0,16575554,41,E,6,16,6,6
Fresh Produce,Fresh Fruits,435679,https://www.walmart.com/ip/Navel-Oranges-3-lb-Bag/44391012?fulfillmentIntent=Pickup,"Navel Oranges, 3 lb Bag",PRODUCE UNBRANDED,5.98,3.0,16592210,41,E,1,5,5,6
Fresh Produce,Fresh Fruits,436701,https://www.walmart.com/ip/Fresh-Strawberries-2-lb/22660282?fulfillmentIntent=Pickup,"Fresh Strawberries, 2 lb",Produce Unbranded,6.14,2.0,16669121,41,E,3,7,7,7
Fresh Produce,Fresh Fruits,435476,https://www.walmart.com/ip/WHOLLY-Avocado-Chunky-Mini-Single-Serve-Cups-100-Hass-Avocado-2-Oz-6-Pack/33284332?fulfillmentIntent=Pickup,"WHOLLY Avocado Chunky Mini Single Serve Cups, 100% Hass Avocado, 2 Oz (6-Pack)",WHOLLY GUACAMOLE,5.63,2.0,16565432,41,E,2,2,2,8
