DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Frozen,Frozen Meals & Snacks,371551,https://www.walmart.com/ip/Marie-Callender-s-Meat-Loaf-Gravy-12-4-oz/740662087?fulfillmentIntent=Pickup,"Marie Callender's Meat Loaf & Gravy, 12.4 oz",Marie Callender's,3.48,12.4,16542526,8,F,5,19,9,5
Frozen,Frozen Meals & Snacks,381427,https://www.walmart.com/ip/Tyson-Any-tizers-Homestyle-Chicken-Fries-1-75-lb-Bag-Frozen/19757423?fulfillmentIntent=Pickup,"Tyson Any'tizers Homestyle Chicken Fries, 1.75 lb Bag (Frozen)",Tyson Any'tizers,9.98,1.75,16684827,8,F,5,15,5,7
Frozen,Frozen Meals & Snacks,371947,https://www.walmart.com/ip/Real-Good-Foods-Cordon-Bleu-Stuffed-Chicken-2-5oz-Servings/362525932?fulfillmentIntent=Pickup,"Real Good Foods Cordon Bleu Stuffed Chicken, 2 - 5oz Servings",Realgood Foods Co.,4.98,5,16543328,8,F,5,15,5,7
Frozen,Frozen Meals & Snacks,374915,https://www.walmart.com/ip/Marie-Callender-s-Roasted-Garlic-Chicken-Bowl-Frozen-Meals-11-5-oz/911502991?fulfillmentIntent=Pickup,"Marie Callender's Roasted Garlic Chicken Bowl, Frozen Meals, 11.5 oz.",Marie Callender's,2.98,11.5,16594233,8,F,3,3,3,7
Frozen,Frozen Meals & Snacks,375123,https://www.walmart.com/ip/Sambazon-Amazon-Superberry-Acai-Bowl-6-1oz-Cup-Frozen/423850625?fulfillmentIntent=Pickup,"Sambazon Amazon Superberry Acai Bowl, 6.1oz Cup (Frozen)",Sambazon,3.8,6.1,16594441,8,F,1,11,1,7
Frozen,Frozen Meals & Snacks,372880,https://www.walmart.com/ip/Healthy-Choice-Caf-Steamers-Grilled-Chicken-Pesto-With-Vegetables-Frozen-Meal-9-9-oz/37912490?fulfillmentIntent=Pickup&athbdg=L1600,"Healthy Choice Caf Steamers Grilled Chicken Pesto With Vegetables Frozen Meal, 9.9 oz.",Healthy Choice,3.12,9.9,16555043,8,F,2,8,8,8
Frozen,Frozen Meals & Snacks,370449,https://www.walmart.com/ip/Kid-Cuisine-Chicken-Breast-Nuggets-Macaroni-And-Cheese-Sauce-Corn-Brownie-Frozen-Meal-8-8-oz/10794578?fulfillmentIntent=Pickup,"Kid Cuisine Chicken Breast Nuggets Macaroni And Cheese Sauce, Corn & Brownie Frozen Meal, 8.8 oz.",Kid Cuisine,2.48,8.8,16532384,8,F,1,17,7,7
Frozen,Frozen Meals & Snacks,377576,https://www.walmart.com/ip/Stouffer-s-Lasagna-with-Meat-Sauce-Frozen-Meal-10-5-oz/10804762?fulfillmentIntent=Pickup,Stouffer's Lasagna with Meat & Sauce Frozen Meal 10.5 oz,Stouffer's,3.48,10.5,16624443,8,F,6,4,4,7
Frozen,Frozen Meals & Snacks,373777,https://www.walmart.com/ip/Great-Value-Garlic-Bread-16-oz/10533811?fulfillmentIntent=Pickup,"Great Value Garlic Bread, 16 oz",Great Value,1.98,16,16574114,8,F,5,5,5,7
Frozen,Frozen Meals & Snacks,378192,https://www.walmart.com/ip/Hot-Pockets-Frozen-Snacks-Sausage-Egg-Cheese-Croissant-Crust-Frozen-Breakfast-Sandwiches-21-25-oz/40839825?fulfillmentIntent=Pickup,"Hot Pockets Frozen Snacks Sausage, Egg & Cheese Croissant Crust Frozen Breakfast Sandwiches 21.25 oz",Hot Pockets,6.84,21.25,16626594,8,F,4,20,10,3
