DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Beverages,Juices,149889,https://www.walmart.com/ip/Hog-Wash-Blue-Raspberry-Juice-Drink-10-Fl-Oz/135442629?fulfillmentIntent=Pickup,"Hog Wash Blue Raspberry Juice Drink, 10 Fl. Oz.",HOG,0.98,10,16368905,41,C,3,9,9,7
Beverages,Juices,143232,https://www.walmart.com/ip/Great-Value-Cranberry-Juice-Cocktail-128-Fl-Oz/10414686?fulfillmentIntent=Pickup,"Great Value Cranberry Juice Cocktail, 128 Fl. Oz.",Great Value,4.98,128,16253332,41,C,6,12,2,7
Beverages,Juices,142224,https://www.walmart.com/ip/Ocean-Spray-Cranberry-Grape-Juice-Drink-101-4-fl-oz/10312393?fulfillmentIntent=Pickup,"Ocean Spray Cranberry Grape Juice Drink, 101.4 fl oz",Ocean Spray,4.66,101.4,16248835,41,C,6,4,4,7
Beverages,Juices,141905,https://www.walmart.com/ip/Bolthouse-Farms-Fruit-Juice-Smoothie-Green-Goodness-52-fl-oz-Bottle/43139289?fulfillmentIntent=Pickup,"Bolthouse Farms Fruit Juice Smoothie, Green Goodness, 52 fl. oz. Bottle",Bolthouse Farms,5.48,52,16232035,41,C,5,5,5,8
Beverages,Juices,140364,https://www.walmart.com/ip/Bolthouse-Farms-Perfectly-Protein-Vanilla-Chai-Tea-Drink-11-oz/49065952?fulfillmentIntent=Pickup,"Bolthouse Farms Perfectly Protein Vanilla Chai Tea Drink, 11 oz",Bolthouse Farms,2.18,11,16215388,41,C,6,4,4,8
Beverages,Juices,142195,https://www.walmart.com/ip/Ocean-Spray-Ruby-Red-Grapefruit-Juice-Drink-10-fl-oz-6-Ct/10447879?fulfillmentIntent=Pickup,"Ocean Spray Ruby Red Grapefruit Juice Drink, 10 fl oz, 6 Ct",Ocean Spray,4.64,10,16232502,41,C,1,15,5,7
Beverages,Juices,138394,https://www.walmart.com/ip/11oz-BH-Superfood-Immunity-Boost-Smoothie/609563462?fulfillmentIntent=Pickup,11oz BH Superfood Immunity Boost Smoothie,Bolthouse Farms,1.98,11,16169731,41,C,4,14,4,7
Beverages,Juices,142625,https://www.walmart.com/ip/Zevia-Kidz-Strawberry-Lemonade-Zero-Calorie-Sparkling-Drink-6-Pack-7-5-fl-oz-Cans/459395816?fulfillmentIntent=Pickup,"Zevia Kidz Strawberry Lemonade Zero Calorie Sparkling Drink, 6 Pack, 7.5 fl oz Cans",Zevia,4.99,7.5,16250328,41,C,5,5,5,7
Beverages,Juices,148720,https://www.walmart.com/ip/Naked-Juice-Mighty-Mango-46-fl-oz-Bottle/925972027?fulfillmentIntent=Pickup,"Naked Juice, Mighty Mango, 46 fl oz Bottle",Naked,6.18,46,16340601,41,C,4,20,10,7
Beverages,Juices,138038,https://www.walmart.com/ip/Simply-Lemonade-with-Strawberry-All-Natural-Non-GMO-52-fl-oz/405494243?fulfillmentIntent=Pickup,"Simply Lemonade with Strawberry, All Natural Non-GMO, 52 fl oz",simply...,2.58,52,16169091,41,C,2,18,8,8
Beverages,Juices,141482,https://www.walmart.com/ip/Capri-Sun-100-Juice-Watermelon-Naturally-Flavored-Juice-Blend-10-ct-Box-6-fl-oz-Pouches/470751119?fulfillmentIntent=Pickup,"Capri Sun 100% Juice Watermelon Naturally Flavored Juice Blend, 10 ct Box, 6 fl oz Pouches",Capri Sun,3.98,6,16220896,41,C,2,2,2,7
Beverages,Juices,145924,https://www.walmart.com/ip/Parent-s-Choice-Pear-Juice-32-oz-Bottle/45368975?fulfillmentIntent=Pickup,"Parent's Choice Pear Juice, 32 oz Bottle",Parent's Choice,1.52,32,16301259,41,C,4,4,4,7
Beverages,Juices,138586,https://www.walmart.com/ip/Simply-Lemonade-All-Natural-Non-GMO-2-63-Liters/22176385?fulfillmentIntent=Pickup,"Simply Lemonade, All Natural Non-GMO, 2.63 Liters",simply...,4.28,2.63,16175143,41,C,4,6,6,10
Beverages,Juices,141867,https://www.walmart.com/ip/Tropicana-Pure-Premium-No-Pulp-100-Orange-Juice-12-oz-Bottle/10313111?fulfillmentIntent=Pickup,"Tropicana Pure Premium No Pulp 100% Orange Juice, 12 oz Bottle",Tropicana,1.68,12,16231997,41,C,3,7,7,7
Beverages,Juices,139320,https://www.walmart.com/ip/Ocean-Spray-100-Juice-Cranberry-101-4-Fl-Oz/15935182?fulfillmentIntent=Pickup,"Ocean Spray 100% Juice,Cranberry, 101.4 Fl. Oz.",Ocean Spray,5.96,101.4,16191181,41,C,6,20,10,10
Beverages,Juices,148400,https://www.walmart.com/ip/Juicy-Juice-100-Juice-Variety-Pack-32-Count-6-75-oz/46535237?fulfillmentIntent=Pickup,"Juicy Juice 100% Juice Variety Pack, 32 Count, 6.75 oz",Juicy Juice,11.52,6.75,16339687,41,C,2,20,10,7
Beverages,Juices,143644,https://www.walmart.com/ip/Ocean-Spray-Diet-Cranberry-Juice-Drink-10-fl-oz-6-count/10447898?fulfillmentIntent=Pickup,"Ocean Spray Diet Cranberry Juice Drink, 10 fl oz, 6 count",Ocean Spray,4.64,10,16261744,41,C,4,4,4,7
Beverages,Juices,147344,https://www.walmart.com/ip/Kool-Aid-Bursts-Tropical-Punch-Artificially-Flavored-Soft-Drink-6-ct-Pack-6-75-fl-oz-Bottles/20897654?fulfillmentIntent=Pickup,"Kool-Aid Bursts Tropical Punch Artificially Flavored Soft Drink, 6 ct Pack, 6.75 fl oz Bottles",Kool-Aid,1.24,6.75,16328056,41,C,2,4,4,4
Beverages,Juices,144622,https://www.walmart.com/ip/Great-Value-NFC-Orange-Juice-with-Pulp-52oz/194877382?fulfillmentIntent=Pickup,Great Value NFC Orange Juice with Pulp 52oz,Great Value,2.58,52,16275968,41,C,4,2,2,7
Beverages,Juices,141444,https://www.walmart.com/ip/Minute-Maid-Fruit-Punch-Made-w-Real-Fruit-Juice-16-9-fl-oz-6-Pack/196954318?fulfillmentIntent=Pickup,"Minute Maid Fruit Punch, Made w/ Real Fruit Juice, 16.9 fl oz, 6 Pack",Minute Maid,4.58,16.9,16220778,41,C,6,4,4,7
Beverages,Juices,138654,https://www.walmart.com/ip/Minute-Maid-Orange-Juice-Pulp-Free-Fruit-Juice-Drink-59-fl-oz/22176380?fulfillmentIntent=Pickup,"Minute Maid Orange Juice Pulp Free, Fruit Juice Drink, 59 fl oz",Minute Maid,3.18,59,16175346,41,C,6,14,4,7
Beverages,Juices,146348,https://www.walmart.com/ip/Kedem-100-Juice-Grape-64-Fl-Oz-1-Count/655848318?fulfillmentIntent=Pickup,"Kedem 100% Juice, Grape, 64 Fl Oz, 1 Count",Kedem,5.34,64,16309304,41,C,2,8,8,7
Beverages,Juices,147887,https://www.walmart.com/ip/Great-Value-White-Cranberry-Peach-Juice-Cocktail-64-fl-oz/10416080?fulfillmentIntent=Pickup,"Great Value White Cranberry Peach Juice Cocktail, 64 fl oz",Great Value,2.54,64,16334971,41,C,5,7,7,7
