DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Dairy & Eggs,Milk,35769,https://www.walmart.com/ip/Blue-Diamond-Almond-Breeze-Reduced-Sugar-Vanilla-Almond-Milk-Half-Gallon-64-fl-oz/34701155?fulfillmentIntent=Pickup,"Blue Diamond Almond Breeze Reduced Sugar Vanilla Almond Milk , Half Gallon, 64 fl oz",Blue Diamond,3.27,64,16188665,46,F,4,10,10,7
Dairy & Eggs,Milk,37149,https://www.walmart.com/ip/Great-Value-Fat-Free-Sweetened-Condensed-Milk-14-Oz/10534166?fulfillmentIntent=Pickup,"Great Value Fat Free Sweetened Condensed Milk, 14 Oz",Great Value,1.94,14,16240102,46,F,4,10,10,8
Dairy & Eggs,Milk,38407,https://www.walmart.com/ip/Meyenberg-Pasteurized-Powdered-Goat-Milk-12-Oz/849003302?fulfillmentIntent=Pickup,"Meyenberg Pasteurized Powdered Goat Milk, 12 Oz",Meyenberg,12.94,12,16320136,46,F,2,8,8,7
Dairy & Eggs,Milk,37364,https://www.walmart.com/ip/Lactaid-100-Lactose-Free-Skim-Fat-Free-Milk-96-fl-oz/17056808?fulfillmentIntent=Pickup,"Lactaid 100% Lactose Free Skim Fat Free Milk, 96 fl oz",Lactaid,5.87,96,16253619,46,F,3,5,5,7
Dairy & Eggs,Milk,36641,https://www.walmart.com/ip/Great-Value-Organic-Original-Soy-Milk-Half-Gallon-64-fl-oz/10315731?fulfillmentIntent=Pickup,"Great Value Organic Original Soy Milk, Half Gallon, 64 fl oz",Great Value,2.36,64,16221449,46,F,6,2,2,7
Dairy & Eggs,Milk,36871,https://www.walmart.com/ip/Thai-Kitchen-Gluten-Free-Unsweetened-Coconut-Milk-13-66-fl-oz/10309672?fulfillmentIntent=Pickup,"Thai Kitchen Gluten Free Unsweetened Coconut Milk, 13.66 fl oz",Thai Kitchen,2.98,13.66,16232155,46,F,2,12,2,7
Dairy & Eggs,Milk,36690,https://www.walmart.com/ip/Blue-Diamond-Almond-Breeze-Unsweetened-Original-Almond-Milk-Half-Gallon-64-fl-oz/23658427?fulfillmentIntent=Pickup,"Blue Diamond Almond Breeze Unsweetened Original Almond Milk, Half Gallon, 64 fl oz",Blue Diamond,3.27,64,16230992,46,F,1,11,1,7
Dairy & Eggs,Milk,38240,https://www.walmart.com/ip/Nestle-La-Lechera-Sweetened-Condensed-Milk-14-oz/10804327?fulfillmentIntent=Pickup,Nestle La Lechera Sweetened Condensed Milk 14 oz,La Lechera,2.32,14,16318866,46,F,3,1,1,7
Dairy & Eggs,Milk,36428,https://www.walmart.com/ip/Kern-s-Original-Horchata-Milk-Rice-Drink-59-Fl-Oz/32214757?fulfillmentIntent=Pickup&athbdg=L1600,"Kern's Original Horchata Milk & Rice Drink, 59 Fl. Oz.",Kern's,3.12,59,16221094,46,F,3,9,9,7
Dairy & Eggs,Milk,37632,https://www.walmart.com/ip/Great-Value-Sweetened-Condensed-Milk-14-oz/10534165?fulfillmentIntent=Pickup,"Great Value Sweetened Condensed Milk, 14 oz",Great Value,1.94,14,16271826,46,F,1,13,3,7
Dairy & Eggs,Milk,38975,https://www.walmart.com/ip/Great-Value-Vanilla-Almond-Milk-Half-Gallon-64-fl-oz/46491746?fulfillmentIntent=Pickup,"Great Value Vanilla Almond Milk, Half Gallon, 64 fl oz",Great Value,2.36,64,16366139,46,F,6,16,6,7
