DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Pantry,Pasta & pizza,487165,https://www.walmart.com/ip/Hunt-s-Tomato-Sauce-No-Salt-Added-8-oz-Can/10295085?fulfillmentIntent=Pickup,"Hunt's Tomato Sauce, No Salt Added, 8 oz Can",Hunt's,0.6,8,16568585,21,D,4,4,4,7
Pantry,Pasta & pizza,490798,https://www.walmart.com/ip/Rao-s-Homemade-All-Natural-Tomatoe-Pizza-Sauce-13-oz-Jar/34266491?fulfillmentIntent=Pickup,"Rao's Homemade All Natural Tomatoe Pizza Sauce, 13 oz Jar",Rao's Homemade,4.78,13,16643326,21,D,1,17,7,7
Pantry,Pasta & pizza,485207,https://www.walmart.com/ip/No-Yolks-Extra-Broad-Egg-White-Noodles-12-ounce-bag/10293232?fulfillmentIntent=Pickup,"No Yolks Extra Broad Egg White Noodles, 12 ounce bag",No Yolks,2.12,12,16528437,21,D,2,6,6,7
Pantry,Pasta & pizza,486391,https://www.walmart.com/ip/Betty-Crocker-Tuna-Helper-Tetrazzini-Spaghetti-Creamy-Sauce-Mix-7-3-oz/14053149?fulfillmentIntent=Pickup,"Betty Crocker Tuna Helper, Tetrazzini, Spaghetti & Creamy Sauce Mix, 7.3 oz",Tuna Helper,1.66,7.3,16547333,21,D,4,10,10,7
Pantry,Pasta & pizza,489186,https://www.walmart.com/ip/Rao-s-Homemade-Marinara-Sauce-24-oz/31008715?fulfillmentIntent=Pickup,"Rao's Homemade Marinara Sauce, 24 oz",Rao's Homemade,6.88,24,16602092,21,D,3,5,5,7
Pantry,Pasta & pizza,485290,https://www.walmart.com/ip/Mama-Mary-s-Original-Pizza-Crusts-12-oz-3-Count/11964753?fulfillmentIntent=Pickup,"Mama Mary's Original Pizza Crusts, 12 oz, 3 Count",Mama Mary's,2.78,12,16528640,21,D,1,9,9,7
Pantry,Pasta & pizza,483492,https://www.walmart.com/ip/Hamburger-Helper-Four-Cheese-Lasagna-5-5-oz-box/10311291?fulfillmentIntent=Pickup,"Hamburger Helper, Four Cheese Lasagna, 5.5 oz box",Hamburger Helper,1.66,5.5,16492653,21,D,3,11,1,5
Pantry,Pasta & pizza,491585,https://www.walmart.com/ip/Ragu-Chunky-Garden-Combination-Pasta-Sauce-Diced-Tomatoes-Onions-Celery-Carrots-Zucchini-Green-Bell-Peppers-Italian-Herbs-Spices-45-OZ/15754216?fulfillmentIntent=Pickup,"Ragu Chunky Garden Combination Pasta Sauce with Diced Tomatoes, Onions, Celery, Carrots, Zucchini, Green Bell Peppers, and Italian Herbs and Spices, 45 OZ",Ragú,3.42,45,16660460,21,D,2,4,4,7
Pantry,Pasta & pizza,488728,https://www.walmart.com/ip/Great-Value-Beef-Pasta-Skillet-Dinner-5-6-oz/163808899?fulfillmentIntent=Pickup,"Great Value Beef Pasta Skillet Dinner, 5.6 oz",Great Value,1.12,5.6,16596922,21,D,1,7,7,7
Pantry,Pasta & pizza,483215,https://www.walmart.com/ip/De-Cecco-Penne-Rigate-No-41-Pasta-16-oz/10318568?fulfillmentIntent=Pickup,"De Cecco Penne Rigate No.41 Pasta, 16 oz",De Cecco,2.32,16,16491351,21,D,2,14,4,5
Pantry,Pasta & pizza,483630,https://www.walmart.com/ip/La-Moderna-Melon-Seed-Pasta-preference-many-generations-made-100-durum-wheat-7-oz-convenient-size-To-cook-delicious-pasta-follow-simple-included-inst/31954426?fulfillmentIntent=Pickup&athbdg=L1400,"La Moderna Melon Seed Pasta has been of preference for many generations, made from 100% durum wheat with a 7 oz convenient size. To cook this delicious pasta, follow simple included instructions.",La Moderna,1.48,7,16492919,21,D,3,9,9,7
Pantry,Pasta & pizza,488369,https://www.walmart.com/ip/Bertolli-Vineyard-Marinara-Sauce-Merlot-Wine-Authentic-Tuscan-Style-Pasta-Made-Vine-Ripened-Tomatoes-Herbs-Spices-Merlot-24-OZ/10291087?fulfillmentIntent=Pickup,"Bertolli Vineyard Marinara Sauce with Merlot Wine, Authentic Tuscan Style Pasta Sauce Made with Vine-Ripened Tomatoes, Herbs and Spices and Merlot, 24 OZ",Bertolli,2.48,24,16581712,21,D,2,8,8,7
Pantry,Pasta & pizza,484134,https://www.walmart.com/ip/Skinner-Pasta-Dumpling-Egg-Noodles-12-Ounce-Bag/10294582?fulfillmentIntent=Pickup,"Skinner Pasta Dumpling Egg Noodles, 12-Ounce Bag",Skinner,1.18,12,16508880,21,D,3,13,3,5
Pantry,Pasta & pizza,483070,https://www.walmart.com/ip/Hamburger-Helper-Beef-Pasta-5-9-oz-box/45750309?fulfillmentIntent=Pickup,"Hamburger Helper, Beef Pasta, 5.9 oz box",Hamburger Helper,1.66,5.9,16490674,21,D,1,9,9,5
Pantry,Pasta & pizza,484141,https://www.walmart.com/ip/Rao-s-Homemade-Tomato-Sauce-Basil-32-oz-Versatile-Pasta-Carb-Conscious-Keto-Friendly-All-Natural-Premium-Quality-Made-Slow-Simmered-Italian-Tomatoes/358735209?fulfillmentIntent=Pickup,"Rao's Homemade Tomato Sauce | Tomato Basil | 32 oz | Versatile Pasta Sauce | Carb Conscious, Keto Friendly | All Natural | Premium Quality | Made with Slow-Simmered Italian Tomatoes & Basil",Rao's Homemade,8.52,32,16508887,21,D,4,20,10,7
Pantry,Pasta & pizza,487398,https://www.walmart.com/ip/Thai-Kitchen-Gluten-Free-Thin-Rice-Noodles-8-8-oz/34261813?fulfillmentIntent=Pickup,"Thai Kitchen Gluten Free Thin Rice Noodles, 8.8 oz",Thai Kitchen,3.24,8.8,16569041,21,D,3,17,7,7
Pantry,Pasta & pizza,488708,https://www.walmart.com/ip/Bitchin-Sauce-Bombay-8-oz/896894004?fulfillmentIntent=Pickup,Bitchin' Sauce Bombay 8 oz,Bitchin' Sauce,5.38,8,16596902,21,D,5,7,7,4
Pantry,Pasta & pizza,487261,https://www.walmart.com/ip/Rao-s-Homemade-Marinara-Sauce-32-oz-All-Purpose-Tomato-Pasta-Carb-Conscious-Keto-Friendly-Natural-Premium-Quality-With-Italian-Tomatoes-Olive-Oil/29895930?fulfillmentIntent=Pickup,"Rao's Homemade Marinara Sauce | 32 oz | All Purpose Tomato Sauce | Pasta Sauce | Carb Conscious, Keto Friendly | All Natural, Premium Quality | With Italian Tomatoes & Olive Oil",Rao's Homemade,8.52,32,16568770,21,D,4,20,10,7
Pantry,Pasta & pizza,489605,https://www.walmart.com/ip/Bertolli-Five-Cheese-Sauce-Authentic-Tuscan-Style-Pasta-Sauce-Made-with-Vine-Ripened-Tomatoes-Ricotta-Romano-and-Parmesan-Cheeses-24-OZ/10291083?fulfillmentIntent=Pickup,"Bertolli Five Cheese Sauce, Authentic Tuscan Style Pasta Sauce Made with Vine-Ripened Tomatoes, Ricotta, Romano and Parmesan Cheeses, 24 OZ",Bertolli,2.42,24,16611144,21,D,2,4,4,7
Pantry,Pasta & pizza,491699,https://www.walmart.com/ip/Prego-Italian-Tomato-Spaghetti-Sauce-Flavored-With-Meat-24-OZ-Jar/10308235?fulfillmentIntent=Pickup,"Prego Italian Tomato Spaghetti Sauce Flavored With Meat, 24 OZ Jar",Prego,2.24,24,16663446,21,D,2,18,8,5
Pantry,Pasta & pizza,486055,https://www.walmart.com/ip/Prego-Pasta-Sauce-Italian-Tomato-Sauce-with-Roasted-Garlic-Parmesan-Cheese-24-Ounce-Jar/14123534?fulfillmentIntent=Pickup,"Prego Pasta Sauce, Italian Tomato Sauce with Roasted Garlic & Parmesan Cheese, 24 Ounce Jar",Prego,2.24,24,16546330,21,D,4,14,4,7
Pantry,Pasta & pizza,492084,https://www.walmart.com/ip/Barilla-Ditalini-Soup-Pasta-16-oz/10309176?fulfillmentIntent=Pickup,"Barilla Ditalini Soup Pasta, 16 oz",Barilla,2.22,16,16666927,21,D,3,3,3,7
Pantry,Pasta & pizza,490427,https://www.walmart.com/ip/Hunt-s-Traditional-Pasta-Sauce-100-Natural-Tomato-Sauce-24-Oz/20554615?fulfillmentIntent=Pickup,"Hunt's Traditional Pasta Sauce, 100% Natural Tomato Sauce, 24 Oz",Hunt's,1.18,24,16642187,21,D,2,6,6,7
Pantry,Pasta & pizza,492154,https://www.walmart.com/ip/Great-Value-Tomato-Sauce-29-Oz/10415506?fulfillmentIntent=Pickup,"Great Value Tomato Sauce, 29 Oz",Great Value,1.84,29,16667094,21,D,1,13,3,7
Pantry,Pasta & pizza,485650,https://www.walmart.com/ip/Hamburger-Helper-Stroganoff-Pasta-Creamy-Sauce-Mix-6-4-oz/45750308?fulfillmentIntent=Pickup,"Hamburger Helper Stroganoff, Pasta & Creamy Sauce Mix, 6.4 oz.",Hamburger Helper,1.66,6.4,16543852,21,D,1,9,9,7
Pantry,Pasta & pizza,485378,https://www.walmart.com/ip/Classico-Four-Cheese-Pasta-Sauce-Value-Size-44-oz-Jar/17352501?fulfillmentIntent=Pickup,"Classico Four Cheese Pasta Sauce Value Size, 44 oz Jar",Classico,4.38,44,16528840,21,D,5,17,7,7
