DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Fresh Produce,Salsa & Dips,418221,https://www.walmart.com/ip/Tabla-Fresca-Farmstand-Fresh-Medium-Salsa-32-oz/638555899?fulfillmentIntent=Pickup,"Tabla Fresca Farmstand Fresh Medium Salsa, 32 oz",Tabla Fresca,5.94,32,16672395,47,C,6,16,6,5
Fresh Produce,Salsa & Dips,417272,https://www.walmart.com/ip/Marzetti-Veggie-Dip-Ranch-14-oz/27146996?fulfillmentIntent=Pickup,"Marzetti Veggie Dip Ranch, 14 oz",Marzetti,4.12,14,16500410,47,C,5,7,7,7
Fresh Produce,Salsa & Dips,417683,https://www.walmart.com/ip/WHOLLY-Avocado-Chunky-Mini-Single-Serve-Cups-100-Hass-Avocado-2-Oz-6-Pack/33284332?fulfillmentIntent=Pickup,"WHOLLY Avocado Chunky Mini Single Serve Cups, 100% Hass Avocado, 2 Oz (6-Pack)",WHOLLY GUACAMOLE,5.63,2,16588983,47,C,2,18,8,8
Fresh Produce,Salsa & Dips,417920,https://www.walmart.com/ip/WHOLLY-Guacamole-Avocado-Verde-Salsa-Spicy-10-oz/770672036?fulfillmentIntent=Pickup,WHOLLY Guacamole Avocado Verde Salsa Spicy - 10 oz,WHOLLY GUACAMOLE,3.48,10,16632619,47,C,5,15,5,7
Fresh Produce,Salsa & Dips,417989,https://www.walmart.com/ip/Freshness-Guaranteed-Mild-Pico-De-Gallo-10-Oz/387591794?fulfillmentIntent=Pickup&athbdg=L1200,"Freshness Guaranteed Mild Pico De Gallo, 10 Oz",Freshness Guaranteed,3.24,10,16652856,47,C,2,4,4,5
Fresh Produce,Salsa & Dips,418006,https://www.walmart.com/ip/Freshness-Guaranteed-Mild-Salsa-24-oz/103528255?fulfillmentIntent=Pickup,"Freshness Guaranteed Mild Salsa, 24 oz",Freshness Guaranteed,3.78,24,16652873,47,C,1,1,1,5
Fresh Produce,Salsa & Dips,417725,https://www.walmart.com/ip/Fresh-Cravings-Restaurant-Style-Medium-Salsa-16-oz/45980581?fulfillmentIntent=Pickup,"Fresh Cravings Restaurant Style Medium Salsa, 16 oz",Fresh Cravings,3.48,16,16589403,47,C,2,20,10,7
Fresh Produce,Salsa & Dips,417904,https://www.walmart.com/ip/Freshness-Guaranteed-Mild-Salsa-24-oz/103528255?fulfillmentIntent=Pickup,"Freshness Guaranteed Mild Salsa, 24 oz",Freshness Guaranteed,3.78,24,16632603,47,C,1,19,9,5
Fresh Produce,Salsa & Dips,417303,https://www.walmart.com/ip/Marzetti-Chocolate-Fruit-Dip-6-pack-2-oz-Cups/38759517?fulfillmentIntent=Pickup,"Marzetti Chocolate Fruit Dip 6 pack, 2 oz Cups",Marzetti,3.98,2,16500464,47,C,6,18,8,7
Fresh Produce,Salsa & Dips,418181,https://www.walmart.com/ip/Fresh-Cravings-Restaurant-Style-Medium-Salsa-16-oz/45980581?fulfillmentIntent=Pickup,"Fresh Cravings Restaurant Style Medium Salsa, 16 oz",Fresh Cravings,3.48,16,16672195,47,C,2,16,6,7
Fresh Produce,Salsa & Dips,417826,https://www.walmart.com/ip/Marzetti-Chocolate-Fruit-Dip-15-oz/10308638?fulfillmentIntent=Pickup,"Marzetti Chocolate Fruit Dip, 15 oz",Marzetti,3.98,15,16602291,47,C,1,1,1,7
Fresh Produce,Salsa & Dips,417259,https://www.walmart.com/ip/Marketside-Salsa-Verde-16-oz/954112524?fulfillmentIntent=Pickup,"Marketside Salsa Verde, 16 oz",Marketside,3.46,16,16497430,47,C,4,14,4,7
Fresh Produce,Salsa & Dips,418265,https://www.walmart.com/ip/Fresh-Cravings-Medium-Pico-De-Gallo-Salsa-14-oz/928115152?fulfillmentIntent=Pickup,"Fresh Cravings Medium Pico De Gallo Salsa, 14 oz",Fresh Cravings,2.98,14,16673628,47,C,2,20,10,7
Fresh Produce,Salsa & Dips,417676,https://www.walmart.com/ip/Freshness-Guaranteed-Guacamole-Spicy-8-oz/572154678?fulfillmentIntent=Pickup,"Freshness Guaranteed Guacamole, Spicy, 8 oz",Freshness Guaranteed,3.14,8,16588976,47,C,1,11,1,8
Fresh Produce,Salsa & Dips,417649,https://www.walmart.com/ip/Freshness-Guaranteed-Spicy-Guacamole-Mini-Cups-2-Oz-6-Count-Fresh/135810005?fulfillmentIntent=Pickup,"Freshness Guaranteed Spicy Guacamole Mini Cups, 2 Oz, 6 Count (Fresh)",Freshness Guaranteed,4.28,2,16569562,47,C,4,4,4,10
Fresh Produce,Salsa & Dips,417984,https://www.walmart.com/ip/Fresh-Cravings-Restaurant-Style-Medium-Salsa-16-oz/45980581?fulfillmentIntent=Pickup,"Fresh Cravings Restaurant Style Medium Salsa, 16 oz",Fresh Cravings,3.48,16,16652851,47,C,3,19,9,7
Fresh Produce,Salsa & Dips,417682,https://www.walmart.com/ip/WHOLLY-Guacamole-Classic-Mini-Single-Serve-Cups-Mild-2-Oz-6-Pack/10416257?fulfillmentIntent=Pickup,"WHOLLY Guacamole Classic Mini Single Serve Cups, Mild, 2 Oz (6-Pack)",WHOLLY GUACAMOLE,5.63,2,16588982,47,C,1,17,7,5
Fresh Produce,Salsa & Dips,417213,https://www.walmart.com/ip/WHOLLY-Guacamole-Family-Size-Chunky-Bowl-Medium-15-oz/412560232?fulfillmentIntent=Pickup,"WHOLLY Guacamole Family Size Chunky Bowl, Medium, 15 oz",WHOLLY GUACAMOLE,5.68,15,16486210,47,C,6,8,8,8
Fresh Produce,Salsa & Dips,418062,https://www.walmart.com/ip/Marzetti-Chunky-Blue-Cheese-Dressing-13-oz/363739153?fulfillmentIntent=Pickup,Marzetti Chunky Blue Cheese Dressing 13 oz,Marzetti,3.98,13,16654404,47,C,3,17,7,7
Fresh Produce,Salsa & Dips,417463,https://www.walmart.com/ip/Marzetti-Chocolate-Fruit-Dip-15-oz/10308638?fulfillmentIntent=Pickup,"Marzetti Chocolate Fruit Dip, 15 oz",Marzetti,3.98,15,16530969,47,C,4,18,8,7
Fresh Produce,Salsa & Dips,417281,https://www.walmart.com/ip/Taste-of-the-South-Fried-Pickle-Ranch-Dip-12-OZ/749929523?fulfillmentIntent=Pickup,"Taste of the South Fried Pickle & Ranch Dip, 12 OZ",Taste of the South,3.98,12,16500419,47,C,2,16,6,5
Fresh Produce,Salsa & Dips,417285,https://www.walmart.com/ip/Marketside-Sweet-Heat-Mango-Peach-Salsa-16-Ounce/918905668?fulfillmentIntent=Pickup,"Marketside Sweet Heat Mango Peach Salsa, 16 Ounce",Marketside,3.96,16,16500423,47,C,6,20,10,7
Fresh Produce,Salsa & Dips,417390,https://www.walmart.com/ip/Dolci-Frutta-Hard-Chocolate-Shell-8-Oz/19500170?fulfillmentIntent=Pickup,"Dolci Frutta, Hard Chocolate Shell, 8 Oz",DOLCI FRUTTA,2.78,8,16514534,47,C,3,5,5,5
