DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Snacks,Snack Nuts,186611,https://www.walmart.com/ip/Sahale-Snacks-Naturally-Pomegranate-Vanilla-Flavored-Cashews-Glazed-Mix-Gluten-Free-Snack-4-Ounce-Bag/102313936?fulfillmentIntent=Pickup,"Sahale Snacks Naturally Pomegranate Vanilla Flavored Cashews Glazed Mix, Gluten-Free Snack, 4-Ounce Bag",Sahale Snacks,3.88,4,16318116,41,F,1,1,1,8
Snacks,Snack Nuts,186213,https://www.walmart.com/ip/NUT-rition-Heart-Healthy-Mix-with-Peanuts-Almonds-Pistachios-Pecans-Walnuts-Sea-Salt-7-ct-Packs/23554497?fulfillmentIntent=Pickup&athbdg=L1200,"NUT-rition Heart Healthy Mix with Peanuts, Almonds, Pistachios, Pecans, Walnuts & Sea Salt, 7 ct Packs",Planters,6.28,7,16202309,41,F,5,3,3,8
Snacks,Snack Nuts,186208,https://www.walmart.com/ip/Planters-Mixed-Nuts-Less-Than-50-Peanuts-with-Peanuts-Almonds-Cashews-Hazelnuts-Pecans-Sea-Salt-3-5-lb-Canister/150315049?fulfillmentIntent=Pickup,"Planters Mixed Nuts Less Than 50% Peanuts with Peanuts, Almonds, Cashews, Hazelnuts, Pecans & Sea Salt, 3.5 lb Canister",Planters,17.12,3.5,16194273,41,F,6,18,8,7
Snacks,Snack Nuts,186340,https://www.walmart.com/ip/Sahale-Snacks-Naturally-Pomegranate-Vanilla-Flavored-Cashews-Glazed-Mix-Gluten-Free-Snack-4-Ounce-Bag/102313936?fulfillmentIntent=Pickup,"Sahale Snacks Naturally Pomegranate Vanilla Flavored Cashews Glazed Mix, Gluten-Free Snack, 4-Ounce Bag",Sahale Snacks,3.88,4,16240213,41,F,6,10,10,8
Snacks,Snack Nuts,186451,https://www.walmart.com/ip/Planters-Deluxe-Mixed-Nuts-with-Cashews-Almonds-Pecans-Pistachios-Hazelnuts-Sea-Salt-2-13-lb-Container/118729804?fulfillmentIntent=Pickup,"Planters Deluxe Mixed Nuts with Cashews, Almonds, Pecans, Pistachios, Hazelnuts & Sea Salt, 2.13 lb Container",Planters,24.99,2.13,16275216,41,F,3,1,1,7
Snacks,Snack Nuts,186459,https://www.walmart.com/ip/Castania-BBQ-Lebanese-Nuts-Regular-Mix-Pistachios-Almonds-Cashews-Hazelnuts-Peanuts-Pumpkin-Seeds-Corn-and-Chickpeas-10-6-oz/382230875?fulfillmentIntent=Pickup,Castania BBQ Lebanese Nuts Regular Mix Pistachios Almonds Cashews Hazelnuts Peanuts Pumpkin Seeds Corn and Chickpeas 10 6 oz,Ziyad,7.98,6,16275224,41,F,5,9,9,7
Snacks,Snack Nuts,186380,https://www.walmart.com/ip/NUT-rition-Wholesome-Nut-Mix-with-Cashews-Almonds-Macadamias-Sea-Salt-7-ct-Packs/23619860?fulfillmentIntent=Pickup,"NUT-rition Wholesome Nut Mix with Cashews, Almonds, Macadamias, & Sea Salt, 7 ct Packs",Planters,6.28,7,16258201,41,F,4,10,10,8
Snacks,Snack Nuts,186456,https://www.walmart.com/ip/Planters-Mixed-Nuts-Less-Than-50-Peanuts-with-Peanuts-Almonds-Cashews-Hazelnuts-Pecans-Sea-Salt-3-5-lb-Canister/150315049?fulfillmentIntent=Pickup,"Planters Mixed Nuts Less Than 50% Peanuts with Peanuts, Almonds, Cashews, Hazelnuts, Pecans & Sea Salt, 3.5 lb Canister",Planters,17.12,3.5,16275221,41,F,2,6,6,7
Snacks,Snack Nuts,186753,https://www.walmart.com/ip/Great-Value-Kung-Pao-Nut-Mix-8-5-oz/378494623?fulfillmentIntent=Pickup,"Great Value Kung Pao Nut Mix, 8.5 oz",Great Value,4.38,8.5,16348027,41,F,5,3,3,8
Snacks,Snack Nuts,186252,https://www.walmart.com/ip/Great-Value-Deluxe-Mixed-Nuts-30-oz/218787293?fulfillmentIntent=Pickup,"Great Value Deluxe Mixed Nuts, 30 oz",Great Value,14.98,30,16207343,41,F,2,2,2,5
Snacks,Snack Nuts,186290,https://www.walmart.com/ip/Sabritas-Mexican-Style-Nut-Mix-7-oz-Bag/31366453?fulfillmentIntent=Pickup,"Sabritas Mexican Style Nut Mix, 7 oz Bag",Sabritas,1.88,7,16207681,41,F,4,20,10,7
Snacks,Snack Nuts,186297,https://www.walmart.com/ip/Planters-Mixed-Nuts-Less-Than-50-Peanuts-with-Peanuts-Almonds-Cashews-Pecans-Hazelnuts-1-69-lb-Container/22004565?fulfillmentIntent=Pickup,"Planters Mixed Nuts Less Than 50% Peanuts with Peanuts, Almonds, Cashews, Pecans & Hazelnuts, 1.69 lb Container",Planters,13.74,1.69,16207688,41,F,5,7,7,7
Snacks,Snack Nuts,186529,https://www.walmart.com/ip/Great-Value-Deluxe-Mixed-Nuts-15-25-oz/857686977?fulfillmentIntent=Pickup,"Great Value Deluxe Mixed Nuts, 15.25 oz",Great Value,8.98,15.25,16293996,41,F,3,19,9,5
Snacks,Snack Nuts,186409,https://www.walmart.com/ip/Great-Value-Roasted-Lightly-Salted-Mixed-Nuts-14-75-oz/271454657?fulfillmentIntent=Pickup,"Great Value Roasted & Lightly Salted Mixed Nuts, 14.75 oz",Great Value,5.48,14.75,16258467,41,F,3,19,9,5
Snacks,Snack Nuts,186363,https://www.walmart.com/ip/Great-Value-Deluxe-Mixed-Nuts-15-25-oz/857686977?fulfillmentIntent=Pickup,"Great Value Deluxe Mixed Nuts, 15.25 oz",Great Value,8.98,15.25,16244074,41,F,5,13,3,5
Snacks,Snack Nuts,186250,https://www.walmart.com/ip/Great-Value-Lightly-Salted-Deluxe-Mixed-Nuts-15-25-oz/483617254?fulfillmentIntent=Pickup,"Great Value Lightly Salted, Deluxe Mixed Nuts, 15.25 oz",Great Value,8.98,15.25,16207341,41,F,6,20,10,8
