DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Beverages,Tea,209461,https://www.walmart.com/ip/Great-Value-Sugar-Free-Drink-Mix-Strawberry-Watermelon-0-42-Oz-6-Ct/23554745?fulfillmentIntent=Pickup,"Great Value Sugar-Free Drink Mix, Strawberry Watermelon, 0.42 Oz, 6 Ct",Great Value,2.16,0.42,16441023,46,C,1,11,1,8
Beverages,Tea,209524,https://www.walmart.com/ip/Great-Value-Energy-Black-Cherry-Drink-Enhancer-3-11-fl-oz/214963187?fulfillmentIntent=Pickup,"Great Value Energy Black Cherry Drink Enhancer, 3.11 fl oz",Great Value,3.92,3.11,16441086,46,C,4,14,4,8
Beverages,Tea,212694,https://www.walmart.com/ip/Traditional-Medicinals-Tea-Organic-Throat-Coat-Tea-Bags-16-Ct/339917415?fulfillmentIntent=Pickup,"Traditional Medicinals Tea, Organic, Throat Coat, Tea Bags, 16 Ct",Traditional Medicinals,4.98,16,16699716,46,C,6,4,4,7
Beverages,Tea,207702,https://www.walmart.com/ip/AriZona-Green-Tea-with-Ginseng-and-Honey-128-fl-oz/10450329?fulfillmentIntent=Pickup&athbdg=L1600,"AriZona Green Tea with Ginseng and Honey, 128 fl oz",AriZona,3.48,128,16372569,46,C,6,12,2,7
Beverages,Tea,207825,https://www.walmart.com/ip/Bigelow-Herbal-Tea-Mint-Medley-Tea-Bags-20-Ct/410279837?fulfillmentIntent=Pickup&athbdg=L1600,"Bigelow Herbal Tea, Mint Medley, Tea Bags, 20 Ct",Bigelow Tea,2.98,20,16377725,46,C,3,15,5,7
Beverages,Tea,208510,https://www.walmart.com/ip/Celestial-Seasonings-Honey-Vanilla-Chamomile-Herbal-Tea-Bags-Boxes-of-20ct/17056847?fulfillmentIntent=Pickup&athbdg=L1600,"Celestial Seasonings Honey Vanilla Chamomile Herbal Tea Bags, Boxes of 20ct",Celestial Seasonings,2.98,20,16386734,46,C,4,20,10,7
Beverages,Tea,210771,https://www.walmart.com/ip/Great-Value-Sugar-Free-Drink-Mix-Grape-0-32-oz-6-Count/10415090?fulfillmentIntent=Pickup,"Great Value Sugar-Free Drink Mix, Grape, 0.32 oz, 6 Count",Great Value,2.16,0.32,16446447,46,C,3,1,1,8
Beverages,Tea,208880,https://www.walmart.com/ip/Gold-Peak-Unsweetened-Black-Iced-Tea-Drink-16-9-fl-oz-6-Pack/44691100?fulfillmentIntent=Pickup,"Gold Peak Unsweetened Black Iced Tea Drink, 16.9 fl oz, 6 Pack",Gold Peak,6.38,16.9,16439033,46,C,2,10,10,7
Beverages,Tea,208373,https://www.walmart.com/ip/Celestial-Seasonings-TeaWell-Organic-Wellness-Herbal-Tea-Immune-Support-Lemongrass-Ginger-12-Ct-Tea-Bags/741103808?fulfillmentIntent=Pickup,"Celestial Seasonings TeaWell Organic Wellness Herbal Tea, Immune Support Lemongrass & Ginger, 12 Ct Tea Bags",Celestial Seasonings,3.44,12,16383722,46,C,5,3,3,8
Beverages,Tea,210263,https://www.walmart.com/ip/Great-Value-Liquid-Drink-Enhancer-Lemonade-3-11-Fl-Oz/140753441?fulfillmentIntent=Pickup,"Great Value Liquid Drink Enhancer Lemonade, 3.11 Fl Oz",Great Value,2.1,3.11,16441985,46,C,5,13,3,8
