DEPARTMENT,CATEGORY,UPC,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRODUCT_SIZE,tid,AISLE_NUMBER,SECTION,SHELF_LEVEL,SHELF_POSITION,BAY_NUMBER,health_score
Dairy & Eggs,Yogurt,118439,https://www.walmart.com/ip/Yoplait-Original-Low-Fat-Yogurt-Pack-12-CT-6-OZ-Fruit-Yogurt-Cups/49543523?fulfillmentIntent=Pickup,"Yoplait Original Low Fat Yogurt Pack, 12 CT, 6 OZ Fruit Yogurt Cups",Yoplait,6.43,6,16228985,15,C,5,5,5,7
Dairy & Eggs,Yogurt,120382,https://www.walmart.com/ip/Thor-s-Skyr-Traditional-Icelandic-Style-Yogurt-Blueberry-6-oz/336575288?fulfillmentIntent=Pickup,"Thor's Skyr Traditional Icelandic Style Yogurt Blueberry, 6 oz",Thor's Skyr,1.92,6,16285584,15,C,4,8,8,7
Dairy & Eggs,Yogurt,121885,https://www.walmart.com/ip/Silk-Peach-Almond-Milk-Yogurt-Alternative-5-3-Oz/147367434?fulfillmentIntent=Pickup,"Silk Peach Almond Milk Yogurt Alternative, 5.3 Oz.",Silk,1.52,5.3,16357833,15,C,1,11,1,7
Dairy & Eggs,Yogurt,120163,https://www.walmart.com/ip/Oui-by-Yoplait-Dairy-Free-Yogurt-Coconut-Dairy-Alternative-Coconut-5-oz/222052763?fulfillmentIntent=Pickup,"Oui by Yoplait, Dairy Free Yogurt, Coconut Dairy Alternative, Coconut, 5 oz",OUI,1.52,5,16265322,15,C,1,9,9,7
Dairy & Eggs,Yogurt,120714,https://www.walmart.com/ip/Activia-Probiotic-Peach-Black-Cherry-Variety-Pack-Yogurt-4-Oz-Cups-12-Count/114294235?fulfillmentIntent=Pickup,"Activia Probiotic Peach & Black Cherry Variety Pack Yogurt, 4 Oz. Cups, 12 Count",Activia,6.87,4,16302059,15,C,6,20,10,7
Dairy & Eggs,Yogurt,116883,https://www.walmart.com/ip/Great-Value-Original-Blueberry-Lowfat-Yogurt-5-3-oz/498066163?fulfillmentIntent=Pickup,"Great Value Original Blueberry Lowfat Yogurt, 5.3 oz",Great Value,0.58,5.3,16187022,15,C,3,9,9,8
Dairy & Eggs,Yogurt,115812,https://www.walmart.com/ip/YoCrunch-Low-Fat-Vanilla-with-M-Ms-Yogurt-6-Oz/10412338?fulfillmentIntent=Pickup,"YoCrunch Low Fat Vanilla with M&Ms Yogurt, 6 Oz.",YoCrunch,1.12,6,16168766,15,C,6,18,8,7
Dairy & Eggs,Yogurt,119067,https://www.walmart.com/ip/Lifeway-Lowfat-Milk-Strawberry-Kefir-32-Fl-oz/44391661?fulfillmentIntent=Pickup,"Lifeway Lowfat Milk Strawberry Kefir, 32 Fl oz",LIFEWAY,3.24,32,16236323,15,C,3,13,3,7
Dairy & Eggs,Yogurt,122433,https://www.walmart.com/ip/Noosa-Yoghurt-Pumpkin-Finest-Yoghurt-8-oz/49933005?fulfillmentIntent=Pickup,Noosa Yoghurt Pumpkin Finest Yoghurt 8 oz,noosa,1.98,8,16359646,15,C,3,19,9,7
Dairy & Eggs,Yogurt,121510,https://www.walmart.com/ip/Activia-Probiotic-Strawberry-Strawberry-Banana-Variety-Pack-Yogurt-4-Oz-Cups-12-Count/24414598?fulfillmentIntent=Pickup,"Activia Probiotic Strawberry & Strawberry Banana Variety Pack Yogurt, 4 Oz. Cups, 12 Count",Activia,6.87,4,16339910,15,C,4,16,6,7
Dairy & Eggs,Yogurt,117323,https://www.walmart.com/ip/Dannon-Whole-Milk-Non-GMO-Project-Verified-Plain-Yogurt-32-Oz/10291171?fulfillmentIntent=Pickup,"Dannon Whole Milk Non-GMO Project Verified Plain Yogurt, 32 Oz.",Dannon,3.44,32,16198126,15,C,5,9,9,8
Dairy & Eggs,Yogurt,118565,https://www.walmart.com/ip/Oikos-Triple-Zero-Vanilla-Greek-Yogurt-5-3-Oz/45595080?fulfillmentIntent=Pickup,"Oikos Triple Zero Vanilla Greek Yogurt, 5.3 Oz.",Dannon,1.06,5.3,16229271,15,C,5,11,1,7
Dairy & Eggs,Yogurt,116167,https://www.walmart.com/ip/Great-Value-Zag-Miraculous-Strawberry-Carrot-Beet-Yogurt-Smoothie-7-oz/367912657?fulfillmentIntent=Pickup,"Great Value Zag Miraculous Strawberry Carrot Beet Yogurt Smoothie, 7 oz",Great Value Miraculous,1.18,7,16175746,15,C,1,13,3,10
Dairy & Eggs,Yogurt,117027,https://www.walmart.com/ip/Great-Value-Honey-Vanilla-Whole-Milk-Greek-Yogurt-32-oz/799282038?fulfillmentIntent=Pickup,"Great Value Honey Vanilla Whole Milk Greek Yogurt, 32 oz",Great Value,3.97,32,16190411,15,C,3,13,3,8
Dairy & Eggs,Yogurt,119188,https://www.walmart.com/ip/Danimals-Swingin-Strawberry-Banana-Smoothies-3-1-Oz-Bottles-6-Count/12166444?fulfillmentIntent=Pickup,"Danimals Swingin' Strawberry Banana Smoothies, 3.1 Oz. Bottles, 6 Count",Danimals,3.18,3.1,16237016,15,C,4,14,4,7
Dairy & Eggs,Yogurt,115861,https://www.walmart.com/ip/Danimals-Cotton-Candy-Squeezable-Yogurt-3-5-Oz-Pouches-4-Count/47456255?fulfillmentIntent=Pickup,"Danimals Cotton Candy Squeezable Yogurt, 3.5 Oz. Pouches, 4 Count",Danimals,4.12,3.5,16168860,15,C,1,7,7,3
Dairy & Eggs,Yogurt,119400,https://www.walmart.com/ip/Danimals-Strawberry-Explosion-Strikin-Strawberry-Kiwi-Variety-Pack-Smoothies-3-1-Oz-Bottles-12-Count/12166448?fulfillmentIntent=Pickup,"Danimals Strawberry Explosion & Strikin Strawberry Kiwi Variety Pack Smoothies, 3.1 Oz. Bottles, 12 Count",Danimals,5.37,3.1,16252206,15,C,6,6,6,7
Dairy & Eggs,Yogurt,118892,https://www.walmart.com/ip/Danimals-Strawberry-Explosion-Squeezable-Yogurt-3-5-Oz-Pouches-4-Count/137332332?fulfillmentIntent=Pickup,"Danimals Strawberry Explosion Squeezable Yogurt, 3.5 Oz. Pouches, 4 Count",Dannon,4.12,3.5,16233586,15,C,2,18,8,5
Dairy & Eggs,Yogurt,119332,https://www.walmart.com/ip/Yoplait-Original-Pineapple-Low-Fat-Yogurt-6-OZ-Yogurt-Cup/10320909?fulfillmentIntent=Pickup,"Yoplait Original Pineapple Low Fat Yogurt, 6 OZ Yogurt Cup",Yoplait,0.64,6,16252098,15,C,4,18,8,7
